"","response","fixed","best.model","Rsq.R2m","delta.aic","significant"
"87","GPP","AnnualFrostDays","Log",0.54,50,TRUE
"88","NPP","AnnualFrostDays","Lin",0.4,38.5,TRUE
"89","R_auto","AnnualFrostDays","Log",0.57,9.4,TRUE
"90","R_auto_root","AnnualFrostDays","Log",0.19,7.3,TRUE
"91","ANPP","AnnualWetDays","Lin",0.17,18.7,TRUE
"92","ANPP_foliage","AnnualWetDays","Lin",0.15,7,TRUE
"93","ANPP_woody_stem","AnnualWetDays","Null",0.01,1.1,FALSE
"94","BNPP_root","AnnualWetDays","Poly",0.11,3.4,TRUE
"95","BNPP_root_fine","AnnualWetDays","Lin",0.08,2.7,TRUE
"96","GPP","AnnualWetDays","Lin",0.11,5.7,TRUE
"97","NPP","AnnualWetDays","Lin",0.11,7.3,TRUE
"98","R_auto","AnnualWetDays","Null",0.26,0.6,TRUE
"99","R_auto_root","AnnualWetDays","Lin",0.17,3.5,TRUE
"100","ANPP","PotentialEvapotranspiration","Poly",0.27,24.5,TRUE
"101","ANPP_foliage","PotentialEvapotranspiration","Log",0.32,24.2,TRUE
"102","ANPP_woody_stem","PotentialEvapotranspiration","Poly",0.2,14,TRUE
"103","BNPP_root","PotentialEvapotranspiration","Poly",0.36,23.2,TRUE
"104","BNPP_root_fine","PotentialEvapotranspiration","Log",0.14,7.1,TRUE
"105","GPP","PotentialEvapotranspiration","Poly",0.36,19.7,TRUE
"106","NPP","PotentialEvapotranspiration","Poly",0.32,24.3,TRUE
"107","R_auto","PotentialEvapotranspiration","Log",0.36,4.8,TRUE
"108","R_auto_root","PotentialEvapotranspiration","Poly",0.19,1.7,TRUE
"109","ANPP","VapourPressureDeficit","Poly",0.23,21.4,TRUE
"110","ANPP_foliage","VapourPressureDeficit","Log",0.35,30,TRUE
"111","ANPP_woody_stem","VapourPressureDeficit","Poly",0.21,17.7,TRUE
"112","BNPP_root","VapourPressureDeficit","Poly",0.26,13.9,TRUE
"113","BNPP_root_fine","VapourPressureDeficit","Log",0.06,1.9,TRUE
"114","GPP","VapourPressureDeficit","Poly",0.31,15.9,TRUE
"115","NPP","VapourPressureDeficit","Poly",0.18,15.3,TRUE
"116","R_auto","VapourPressureDeficit","Log",0.35,4.3,TRUE
"117","R_auto_root","VapourPressureDeficit","Poly",0.27,6.7,TRUE
"118","ANPP","MaxVPD","Poly",0.06,2.2,TRUE
"119","ANPP_foliage","MaxVPD","Poly",0.07,4.9,TRUE
"120","ANPP_woody_stem","MaxVPD","Log",0.14,7.5,TRUE
"121","BNPP_root","MaxVPD","Null",0.03,0.4,FALSE
"122","BNPP_root_fine","MaxVPD","Null",0,2.2,FALSE
"123","GPP","MaxVPD","Null",0.01,1.5,FALSE
"124","NPP","MaxVPD","Null",0.01,1.1,FALSE
"125","R_auto","MaxVPD","Null",0.02,3.1,FALSE
"126","R_auto_root","MaxVPD","Null",0.02,2,FALSE
"127","ANPP","WaterStressMonths","Poly",0.06,3,TRUE
"128","ANPP_foliage","WaterStressMonths","Poly",0.17,7.8,TRUE
"129","ANPP_woody_stem","WaterStressMonths","Log",0.02,0.2,FALSE
"130","BNPP_root","WaterStressMonths","Null",0.01,1.4,FALSE
"131","BNPP_root_fine","WaterStressMonths","Null",0.04,0.6,FALSE
"132","GPP","WaterStressMonths","Null",0,1.6,FALSE
"133","NPP","WaterStressMonths","Lin",0.04,4,TRUE
"134","R_auto","WaterStressMonths","Null",0.3,1.5,TRUE
"135","R_auto_root","WaterStressMonths","Lin",0.14,6.1,TRUE
"136","ANPP","length_growing_season","Lin",0.34,44,TRUE
"137","ANPP_foliage","length_growing_season","Log",0.46,32.9,TRUE
"138","ANPP_woody_stem","length_growing_season","Log",0.11,12.6,TRUE
"139","BNPP_root","length_growing_season","Lin",0.26,14.7,TRUE
"140","BNPP_root_fine","length_growing_season","Lin",0.13,5.8,TRUE
"141","GPP","length_growing_season","Lin",0.53,38.2,TRUE
"142","NPP","length_growing_season","Lin",0.38,28.4,TRUE
"143","R_auto","length_growing_season","Lin",0.47,5.8,TRUE
"144","R_auto_root","length_growing_season","Lin",0.19,5.9,TRUE
