"response","fixed1","fixed2","random","Age.filter","best.model","significant","p.value","sample.size","Rsq.R2m","Rsq.R2c","delta.aic","fixed1.coef","fixed2.coef","int.coef"
"BNPP_root_fine","map","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.03816,86,0.1452,0.6665,1.107,1e-04,-0.0119,NA
"GPP","map","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.278e-08,228,0.3566,0.9699,1.484,-9e-04,-0.0169,0
"NPP","map","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.0001036,99,0.2066,0.9291,12.12,0.0035,0.0599,0
"BNPP_root","map","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.3351,92,0.02393,0.7654,2.021,NA,NA,NA
"BNPP_root_fine","map","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.1505,86,0.05391,0.7134,1.721,NA,NA,NA
"GPP","map","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,2.034e-09,228,0.3945,0.9682,1.55,0.0037,0,NA
"NPP","map","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.643e-05,99,0.3283,0.8537,0.08775,0.0025,0,0
"BNPP_root","map","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,6.246e-05,92,0.3133,0.822,6.13,0.0014,0,0
"BNPP_root_fine","map","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.add",FALSE,0.06107,86,0.1178,0.7098,2.03,2e-04,0,NA
"GPP","map","Aridity","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,6.408e-08,228,0.1852,0.967,1.959,0.0052,-4e-04,NA
"NPP","map","Aridity","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.0365,99,0.1035,0.822,2.235,-1e-04,2e-04,NA
"BNPP_root","map","Aridity","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.3351,92,0.02393,0.7654,1.02,NA,NA,NA
"BNPP_root_fine","map","Aridity","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.1505,86,0.05391,0.7134,0.05653,NA,NA,NA
"GPP","map","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,4.447e-09,228,0.3861,0.9665,0.6167,0.0037,0.0103,NA
"NPP","map","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,5.563e-05,99,0.3216,0.7912,1.341,4e-04,0.0045,NA
"BNPP_root","map","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.001001,92,0.2625,0.7861,3.139,0.0011,0.0032,0
"BNPP_root_fine","map","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.add",FALSE,0.05594,86,0.121,0.6879,0.9741,2e-04,0.0012,NA
"GPP","map","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,4.785e-08,228,0.2926,0.9644,1.73,0.004,8.9426,NA
"NPP","map","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,8.085e-05,99,0.2918,0.7909,1.027,-8e-04,2.0849,0.0023
"BNPP_root","map","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.005194,92,0.2228,0.7494,0.3723,6e-04,4.1544,-9e-04
"BNPP_root_fine","map","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.00824,86,0.1919,0.7027,5.655,0.0015,4.7217,-0.0022
"GPP","TempSeasonality","mat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,2.444e-13,227,0.7164,0.9617,5.521,-0.1118,0.3893,-0.0066
"NPP","TempSeasonality","mat","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,1.317e-09,98,0.5361,0.8256,1.614,-0.0216,0.1371,NA
"BNPP_root","TempSeasonality","mat","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.0004632,87,0.2965,0.7822,1.937,-0.0131,0.0429,NA
"BNPP_root_fine","TempSeasonality","mat","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.01711,85,0.1738,0.6833,2.414,-0.0283,-0.0716,NA
"GPP","TempSeasonality","map","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,4.26e-17,228,0.7384,0.9636,13.14,-0.0863,0.0035,-1e-04
"NPP","TempSeasonality","map","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,2.47e-09,99,0.517,0.8418,1.957,-0.0512,-2e-04,NA
"BNPP_root","TempSeasonality","map","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.0001373,92,0.322,0.7878,0.002389,-0.0177,0,0
"BNPP_root_fine","TempSeasonality","map","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.03816,86,0.1452,0.6665,1.107,-0.0119,1e-04,NA
"GPP","TempSeasonality","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,1.357e-13,254,0.6736,0.9628,0.9976,-0.186,0.0143,NA
"NPP","TempSeasonality","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.748e-10,114,0.5296,0.8195,4.026,-0.0024,0.0184,-3e-04
"BNPP_root","TempSeasonality","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.486e-06,104,0.3615,0.7528,4.766,0.0081,0.0035,-2e-04
"BNPP_root_fine","TempSeasonality","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.01883,96,0.1574,0.6772,1.549,-0.0137,0,NA
"GPP","TempSeasonality","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,5.734e-14,254,0.6861,0.9632,3.637,0.1282,0,0
"NPP","TempSeasonality","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,8.414e-10,114,0.4912,0.8228,0.9153,-0.0459,0,NA
"BNPP_root","TempSeasonality","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,8.003e-06,104,0.3266,0.7617,0.7226,-0.0179,0,NA
"BNPP_root_fine","TempSeasonality","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.01334,96,0.1636,0.6803,2.217,-0.0107,0,NA
"GPP","TempSeasonality","Aridity","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,1.136e-13,254,0.6633,0.9636,1.146,-0.1984,-1e-04,NA
"NPP","TempSeasonality","Aridity","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,5.27e-10,114,0.5221,0.8085,2.461,-0.0252,1e-04,0
"BNPP_root","TempSeasonality","Aridity","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.52e-05,104,0.3261,0.7698,2.479,-0.0046,0,0
"BNPP_root_fine","TempSeasonality","Aridity","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.01477,96,0.1668,0.655,0.4906,-0.0155,0,NA
"GPP","TempSeasonality","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.419e-14,254,0.6919,0.9606,5.326,-0.0136,0.0051,-2e-04
"NPP","TempSeasonality","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,1.479e-09,114,0.4906,0.8214,1.889,-0.0488,5e-04,NA
"BNPP_root","TempSeasonality","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,2.268e-05,104,0.3484,0.7625,0.5696,-0.0497,-6e-04,0
"BNPP_root_fine","TempSeasonality","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.01531,96,0.1611,0.6695,2.368,-0.0109,5e-04,NA
"GPP","TempSeasonality","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,4.793e-14,254,0.6818,0.9608,1.541,-0.1282,1.0936,-0.2009
"NPP","TempSeasonality","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,1.296e-09,114,0.492,0.8201,2.19,-0.0477,0.9766,NA
"BNPP_root","TempSeasonality","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.025e-05,104,0.3645,0.7659,2.632,-0.0465,-1.3467,0.0561
"BNPP_root_fine","TempSeasonality","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.01881,96,0.1577,0.674,1.416,-0.0136,0.0194,NA
"GPP","AnnualWetDays","mat","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,3.515e-11,227,0.641,0.9655,1.857,0.032,0.8336,NA
"NPP","AnnualWetDays","mat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.58e-09,98,0.5423,0.8194,1.059,-0.0087,0.0847,9e-04
"BNPP_root","AnnualWetDays","mat","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.0007968,87,0.278,0.7725,1.784,-8e-04,0.0959,NA
"BNPP_root_fine","AnnualWetDays","mat","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.4484,85,0.03154,0.6921,2.362,NA,NA,NA
"GPP","AnnualWetDays","map","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.278e-08,228,0.3566,0.9699,1.484,-0.0169,-9e-04,0
"NPP","AnnualWetDays","map","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.0001036,99,0.2066,0.9291,12.12,0.0599,0.0035,0
"BNPP_root","AnnualWetDays","map","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.8881,92,0.00376,0.7803,2.021,NA,NA,NA
"BNPP_root_fine","AnnualWetDays","map","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.4799,86,0.02714,0.6686,1.721,NA,NA,NA
"GPP","AnnualWetDays","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,1.357e-13,254,0.6736,0.9628,0.9976,0.0143,-0.186,NA
"NPP","AnnualWetDays","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.748e-10,114,0.5296,0.8195,4.026,0.0184,-0.0024,-3e-04
"BNPP_root","AnnualWetDays","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.486e-06,104,0.3615,0.7528,4.766,0.0035,0.0081,-2e-04
"BNPP_root_fine","AnnualWetDays","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.01883,96,0.1574,0.6772,1.549,0,-0.0137,NA
"GPP","AnnualWetDays","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.072e-06,254,0.4097,0.9646,0.8254,-0.154,0,0
"NPP","AnnualWetDays","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,4.17e-08,114,0.4615,0.8613,2.623,-0.0472,0,0
"BNPP_root","AnnualWetDays","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,7.279e-05,104,0.3145,0.802,1.88,-0.0332,0,0
"BNPP_root_fine","AnnualWetDays","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.0451,96,0.12,0.6937,2.378,0.0037,0,NA
"GPP","AnnualWetDays","Aridity","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.0085,254,0.1639,0.9659,1.354,-0.0577,-0.0011,0
"NPP","AnnualWetDays","Aridity","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.002165,114,0.1908,0.8283,2.236,0.0176,1e-04,NA
"BNPP_root","AnnualWetDays","Aridity","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.9412,104,0.001758,0.7751,1.88,NA,NA,NA
"BNPP_root_fine","AnnualWetDays","Aridity","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.3345,96,0.03731,0.6863,2.31,NA,NA,NA
"GPP","AnnualWetDays","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,8.437e-08,254,0.4535,0.9633,4.134,-0.0986,-0.0061,1e-04
"NPP","AnnualWetDays","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,2.319e-08,114,0.4595,0.8176,3.497,-0.0232,-0.001,0
"BNPP_root","AnnualWetDays","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.001171,104,0.242,0.7476,0.02268,-0.0139,-1e-04,0
"BNPP_root_fine","AnnualWetDays","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.03055,96,0.1303,0.6642,2.382,0.0042,0.0014,NA
"GPP","AnnualWetDays","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,8.49e-06,254,0.3354,0.9598,2.045,-0.0195,-7.2461,0.1609
"NPP","AnnualWetDays","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,5.809e-08,114,0.42,0.7969,0.6113,0.0025,0.7846,0.039
"BNPP_root","AnnualWetDays","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.003204,104,0.1928,0.7457,2.311,0.0053,3.1118,NA
"BNPP_root_fine","AnnualWetDays","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.add",FALSE,0.07558,96,0.09786,0.6568,1.513,0.0056,1.7386,NA
"GPP","SolarRadiation","mat","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,1.448e-10,227,0.6207,0.9638,0.06162,0,0.8789,NA
"NPP","SolarRadiation","mat","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,3.331e-09,98,0.5107,0.8211,2.367,0,0.2158,NA
"BNPP_root","SolarRadiation","mat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.0002494,87,0.3216,0.7834,1.193,0,0.2668,0
"BNPP_root_fine","SolarRadiation","mat","geographic.area/plot.name","age.greater.than.100","mod",TRUE,0.04934,85,0.1093,0.7053,1.662,NA,NA,NA
"GPP","SolarRadiation","map","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,2.034e-09,228,0.3945,0.9682,1.55,0,0.0037,NA
"NPP","SolarRadiation","map","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.643e-05,99,0.3283,0.8537,0.08775,0,0.0025,0
"BNPP_root","SolarRadiation","map","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,6.246e-05,92,0.3133,0.822,6.13,0,0.0014,0
"BNPP_root_fine","SolarRadiation","map","geographic.area/plot.name","age.greater.than.100","mod.add",FALSE,0.06107,86,0.1178,0.7098,2.03,0,2e-04,NA
"GPP","SolarRadiation","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,5.734e-14,254,0.6861,0.9632,3.637,0,0.1282,0
"NPP","SolarRadiation","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,8.414e-10,114,0.4912,0.8228,0.9153,0,-0.0459,NA
"BNPP_root","SolarRadiation","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,8.003e-06,104,0.3266,0.7617,0.7226,0,-0.0179,NA
"BNPP_root_fine","SolarRadiation","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.01334,96,0.1636,0.6803,2.217,0,-0.0107,NA
"GPP","SolarRadiation","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.072e-06,254,0.4097,0.9646,0.8254,0,-0.154,0
"NPP","SolarRadiation","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,4.17e-08,114,0.4615,0.8613,2.623,0,-0.0472,0
"BNPP_root","SolarRadiation","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,7.279e-05,104,0.3145,0.802,1.88,0,-0.0332,0
"BNPP_root_fine","SolarRadiation","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.0451,96,0.12,0.6937,2.378,0,0.0037,NA
"GPP","SolarRadiation","Aridity","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.0001232,254,0.2842,0.9617,1.876,0,-0.0019,0
"NPP","SolarRadiation","Aridity","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,9.962e-06,114,0.3127,0.8208,0.4172,0,1e-04,NA
"BNPP_root","SolarRadiation","Aridity","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.0001338,104,0.2722,0.8106,3.522,0,3e-04,0
"BNPP_root_fine","SolarRadiation","Aridity","geographic.area/plot.name","age.greater.than.100","mod.add",FALSE,0.07123,96,0.1137,0.7107,0.3031,0,0,NA
"GPP","SolarRadiation","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,7.644e-05,254,0.2894,0.9608,2.395,1e-04,0.0465,0
"NPP","SolarRadiation","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.468e-05,114,0.2674,0.8204,3.306,0,0.0145,0
"BNPP_root","SolarRadiation","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.423e-05,104,0.3054,0.7725,7.015,0,0.0061,0
"BNPP_root_fine","SolarRadiation","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.add",FALSE,0.06761,96,0.1099,0.6756,1.194,0,9e-04,NA
"GPP","SolarRadiation","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.0002065,254,0.2718,0.9598,0.9562,1e-04,48.0284,-1e-04
"NPP","SolarRadiation","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.889e-05,114,0.2753,0.8159,3.555,0,24.2513,0
"BNPP_root","SolarRadiation","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.002e-05,104,0.3251,0.7509,7.286,0,12.7047,0
"BNPP_root_fine","SolarRadiation","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.add",FALSE,0.07081,96,0.1102,0.685,1.334,0,0.5211,NA
"GPP","Aridity","mat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,9.842e-12,227,0.6445,0.9666,5.178,-9e-04,0.3647,0
"NPP","Aridity","mat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,6.176e-10,98,0.557,0.811,2.966,-1e-04,0.0988,0
"BNPP_root","Aridity","mat","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.0006249,87,0.2737,0.7791,0.5296,0,0.0884,NA
"BNPP_root_fine","Aridity","mat","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.2704,85,0.05112,0.7361,1.811,NA,NA,NA
"GPP","Aridity","map","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,6.408e-08,228,0.1852,0.967,1.959,-4e-04,0.0052,NA
"NPP","Aridity","map","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.0365,99,0.1035,0.822,2.235,2e-04,-1e-04,NA
"BNPP_root","Aridity","map","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.2702,92,0.0334,0.7931,1.02,NA,NA,NA
"BNPP_root_fine","Aridity","map","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.3432,86,0.04139,0.7032,0.05653,NA,NA,NA
"GPP","Aridity","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,1.136e-13,254,0.6633,0.9636,1.146,-1e-04,-0.1984,NA
"NPP","Aridity","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,5.27e-10,114,0.5221,0.8085,2.461,1e-04,-0.0252,0
"BNPP_root","Aridity","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.52e-05,104,0.3261,0.7698,2.479,0,-0.0046,0
"BNPP_root_fine","Aridity","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.01477,96,0.1668,0.655,0.4906,0,-0.0155,NA
"GPP","Aridity","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.0085,254,0.1639,0.9659,1.354,-0.0011,-0.0577,0
"NPP","Aridity","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.002165,114,0.1908,0.8283,2.236,1e-04,0.0176,NA
"BNPP_root","Aridity","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.1663,104,0.04219,0.7904,1.88,NA,NA,NA
"BNPP_root_fine","Aridity","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.3103,96,0.04237,0.7223,2.31,NA,NA,NA
"GPP","Aridity","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.0001232,254,0.2842,0.9617,1.876,-0.0019,0,0
"NPP","Aridity","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,9.962e-06,114,0.3127,0.8208,0.4172,1e-04,0,NA
"BNPP_root","Aridity","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.0001338,104,0.2722,0.8106,3.522,3e-04,0,0
"BNPP_root_fine","Aridity","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.add",FALSE,0.07123,96,0.1137,0.7107,0.3031,0,0,NA
"GPP","Aridity","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.22e-05,254,0.3271,0.9574,6.391,-0.0015,-0.0015,0
"NPP","Aridity","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,4.719e-08,114,0.4847,0.7562,8.964,-4e-04,-5e-04,0
"BNPP_root","Aridity","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.001706,104,0.1846,0.7576,2.001,0,0.0018,NA
