"X","site_plot","citation.ID","stand.age","measurement.ID","sites.sitename","plot.name","dominant.life.form","dominant.veg","variable.name.x","date.x","start.date.x","end.date.x","ANPP_canopy","min.dbh","required.citations","ForC.investigator","country","lat","lon","masl","mat","map","geographic.area","biogeog","Koeppen","FAO.ecozone","plot.area","year.establishment.oldest.trees","regrowth.type","regrowth.year","distmrs.type","distmrs.yr","managed","disturbed","history.no.info","biomes","variable.name.y","date.y","start.date.y","end.date.y","ANPP_woody_stem","optional","AnnualMeanTemp","MeanDiurnalRange","Isothermality","TempSeasonality","MaxTWarmestMonth","MinTColdestMonth","TempRangeAnnual","MeanTWetQ","MeanTDryQ","MeanTWarmQ","MeanTColdQ","AnnualPre","PreWetMonth","PreDryMonth","PreSeasonality","PreWetQ","PreDryQ","PreWarmQ","PreColdQ","CloudCover","AnnualFrostDays","AnnualPET","AnnualWetDays"
11,"Andrews 12 unmanaged","Luyssaert_2007_cbob",629,409,"Andrews 12","unmanaged","woody","2TEN","ANPP_foliage","2001",NA,NA,1.4,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.2587,-122.1818,812,NA,NA,"39","Nearctic","Csb","Temperate mountain system","NAC","1372","Initiation of post-disturbance cohort (natural)","1372","NAC","NAC",0,0,0,"temperate","ANPP_woody_stem","2001",NA,NA,2.13,TRUE,7.1,12.3,0.42,58.48,24.9,-4.2,29.1,0.7,14.9,14.9,0.1,1871,319,24,65,901,121,121,832,66.2921783625731,159.637192982456,806.972807017544,123.890877192982
12,"Baka MNR2","Tan_2011_aosa",999,18281,"Baka","MNR2","woody","2TREE","ANPP_litterfall","2005","2003","2007",3.6848,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","China",22.09,100.77,NA,21.8,1493,"NAC","Indo-Malay","Cwa","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","2005","2003","2007",3.29,TRUE,22.9,12,0.53,32.62,32.8,10.2,22.6,25.9,19.4,26.1,18,1255,237,14,77,658,55,560,57,60.9062134502924,2.05438596491228,1057.98684210526,217.223333333333
13,"Banco plateau Mature","Bernhard-Reversat_1978_safo",999,18291,"Banco plateau","Mature","woody","2TEB","ANPP_litterfall","NI","NI","NI",5.593,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Cote D'Ivoire",5.38,-4.03,100,26.2,2095,"60","Afrotropics","Aw","Tropical rainforest","5","NAC","NAC","NAC","NAC","NAC",0,0,0,"tropical","ANPP_woody_stem","NI","NI","NI",2.0868,TRUE,26.1,7.4,0.67,10.93,31.8,20.8,11,25.7,26.7,27.3,24.5,1774,517,23,85,931,163,316,297,74.4488304093567,0,1161.45614035088,137.352894736842
14,"Banco Valley Mature","Bernhard-Reversat_1978_safo",999,18292,"Banco Valley","Mature","woody","2TEB","ANPP_litterfall","NI","NI","NI",4.371,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Cote D'Ivoire",5.38,-4.03,50,26.2,NA,"60","Afrotropics","Aw","Tropical rainforest","0.08","NAC","NAC","NAC","NAC","NAC",0,0,0,"tropical","ANPP_woody_stem","NI","NI","NI",1.692,TRUE,26.1,7.4,0.67,10.93,31.8,20.8,11,25.7,26.7,27.3,24.5,1774,517,23,85,931,163,316,297,74.4488304093567,0,1161.45614035088,137.352894736842
15,"Bannadpare Mature Rain forest","Rai_1986_esof",999,1136,"Bannadpare","Mature Rain forest","woody","2TEB","ANPP_litterfall","NI","NI","NI",1.9129,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","India",12.08,75.7,200,27,5310,"62","IndoMalay","Am","Tropical rainforest","1","NAC","NAC","NAC","NAC","NAC",0,0,1,"tropical","ANPP_woody_stem","NI","NI","NI",3.008,TRUE,26.6,7.9,0.61,12.52,33.4,20.5,12.9,25.6,26.9,28.6,25.5,4283,1460,3,122,3111,21,385,2630,47.9744883040936,0,1395.64824561404,100.689912280702
16,"Battle Ax 6 unmanaged","Luyssaert_2007_cbob",67,1299,"Battle Ax 6","unmanaged","woody","2TEN","ANPP_foliage","2001",NA,NA,1.37,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.8386,-122.2342,987,NA,NA,"66","Nearctic","Csb","Temperate mountain system","NAC","1934","Initiation of post-disturbance cohort (natural)","1934","NAC","NAC",0,0,0,"temperate","ANPP_woody_stem","2001",NA,NA,2.04,TRUE,6.5,10.1,0.4,52.37,21.8,-3.1,24.9,1,13.5,13.6,0.5,2378,393,29,63,1118,156,165,1044,68.794298245614,160.394035087719,747.924561403509,133.439824561404
17,"BDFFP Fazenda Dimona terra firma 2303 BDF-01","Malhi_2004_tacw",999,18365,"BDFFP Fazenda Dimona","terra firma 2303 BDF-01","woody","2TEB","ANPP_litterfall","NI","NI","NI",4.1454,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-2.33333,-60.083333,100,26.75,2305,"68","Neotropics","Af","Tropical rainforest","2","NAC","NAC","NAC","No disturbance","1904",0,0,0,"tropical","ANPP_woody_stem","1991","1985","1997",2.256,TRUE,27.1,8.6,0.83,4.34,32.6,22.3,10.3,26.7,27.6,27.7,26.7,2553,344,117,33,932,378,427,755,81.6142543859649,0,1151.79473684211,243.733859649123
18,"Big Butte Springs 6 unmanaged","Luyssaert_2007_cbob",63,1547,"Big Butte Springs 6","unmanaged","woody","2TEN","ANPP_foliage","2001",NA,NA,2.21,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",42.6025,-122.4755,969,NA,NA,"74","Nearctic","Csb","Temperate mountain system","NAC","1938","Initiation of post-disturbance cohort (natural)","1938","NAC","NAC",0,0,0,"temperate","ANPP_woody_stem","2001",NA,NA,1.81,TRUE,8.6,15.2,0.46,60.57,28.3,-4.2,32.5,1.8,16.6,16.6,1.4,920,157,10,63,439,61,62,391,62.4220760233918,197.407543859649,876.671929824561,112.976754385965
19,"Bionte (Luizao) lowland tropical forest","Malhi_2011_taoe",999,1659,"Bionte (Luizao)","lowland tropical forest","woody","2TEB","ANPP_litterfall","NI","NI","NI",3.7,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-2.63,-60.17,73,27.08,2272,"68","Neotropics","Af","Tropical rainforest","NAC","NAC","NI","NAC","NI","NAC",0,0,1,"tropical","ANPP_woody_stem","NI","NI","NI",2.6,TRUE,27,8.5,0.82,4.35,32.5,22.2,10.3,26.6,27.1,27.6,26.5,2258,304,95,35,790,319,393,744,82.2479532163743,0,1156.25087719298,245.646052631579
20,"Bionte 1 terra firma BNT-01","Chambers_2000_dacc",999,18367,"Bionte 1","terra firma BNT-01","woody","2TEB","ANPP_litterfall","1996","1996","1997",3.384,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-2.63,-60.17,73,27.1,2381,"68","Neotropics","Af","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","1904",0,0,0,"tropical","ANPP_woody_stem","1992","1986","1999",2.444,TRUE,27,8.5,0.82,4.35,32.5,22.2,10.3,26.6,27.1,27.6,26.5,2258,304,95,35,790,319,393,744,82.2479532163743,0,1156.25087719298,245.646052631579
21,"Blue Mountain 5 unmanaged","Luyssaert_2007_cbob",73,1791,"Blue Mountain 5","unmanaged","woody","2TEN","ANPP_foliage","2001",NA,NA,2.03,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",43.7037,-122.9292,876,NA,NA,"88","Nearctic","Csb","Temperate mountain system","NAC","1928","Initiation of post-disturbance cohort (natural)","1928","NAC","NAC",0,0,0,"temperate","ANPP_woody_stem","2001",NA,NA,4.07,TRUE,8.2,12.1,0.44,52.47,24.7,-2.4,27.1,2.4,15.1,15.2,2,1719,284,19,65,819,104,113,735,64.7590643274854,119.896578947368,877.520175438597,120.153421052632
22,"Blue Mountain 6 unmanaged","Luyssaert_2007_cbob",171,1803,"Blue Mountain 6","unmanaged","woody","2TEN","ANPP_foliage","2001",NA,NA,3.28,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",43.7062,-122.9356,704,NA,NA,"88","Nearctic","Csb","Temperate mountain system","NAC","1830","Initiation of post-disturbance cohort (natural)","1830","NAC","NAC",0,0,0,"temperate","ANPP_woody_stem","2001",NA,NA,4.08,TRUE,8.9,12.2,0.45,52.03,25.4,-1.7,27.1,3.1,15.8,15.8,2.7,1615,267,18,64,764,100,109,681,64.7590643274854,119.896578947368,877.520175438597,120.153421052632
23,"Blue Mtn. Mor Ridge ""old"" Tropical montane","Tanner_1980_sotb",999,18309,"Blue Mtn. Mor Ridge","""old"" Tropical montane","woody","2TEB","ANPP_litterfall","1976","1974","1978",3.1067,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Jamaica",18.08,-76.65,1615,15.8,2230,"89","Neotropics","Aw","Tropical mountain system","0.08","NAC","NAC","NAC","NAC","NAC",0,0,1,"tropical","ANPP_woody_stem","1976","1974","1978",0.47,TRUE,19.3,7.3,0.66,11.41,24.8,13.8,11,19.6,18,20.8,17.8,2421,395,93,49,1026,333,541,439,51.6987573099415,0,1257.25789473684,132.674473684211
24,"Blue Mtn. Mull Ridge ""old"" Tropical montane","Tanner_1980_sotb",999,18310,"Blue Mtn. Mull Ridge","""old"" Tropical montane","woody","2TEB","ANPP_litterfall","1976","1974","1978",2.585,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Jamaica",18.08,-76.65,1600,15.5,2230,"89","Neotropics","Aw","Tropical mountain system","0.1","NAC","NAC","NAC","NAC","NAC",0,0,1,"tropical","ANPP_woody_stem","1976","1974","1978",0.47,TRUE,19.3,7.3,0.66,11.41,24.8,13.8,11,19.6,18,20.8,17.8,2421,395,93,49,1026,333,541,439,51.6987573099415,0,1257.25789473684,132.674473684211
25,"Blue Mtn.Gap Forest ""old"" Tropical montane","Tanner_1980_sotb",999,18311,"Blue Mtn.Gap Forest","""old"" Tropical montane","woody","2TEB","ANPP_litterfall","1976","1974","1978",3.0409,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Jamaica",18.08,-76.65,1590,15.5,2230,"89","Neotropics","Aw","Tropical mountain system","0.1","NAC","NAC","NAC","NAC","NAC",0,0,1,"tropical","ANPP_woody_stem","1976","1974","1978",1.645,TRUE,19.3,7.3,0.66,11.41,24.8,13.8,11,19.6,18,20.8,17.8,2421,395,93,49,1026,333,541,439,51.6987573099415,0,1257.25789473684,132.674473684211
26,"Blue Mtn.Wet Slope Forest ""old"" Tropical montane","Tanner_1980_sotb",999,18312,"Blue Mtn.Wet Slope Forest","""old"" Tropical montane","woody","2TEB","ANPP_litterfall","1976","1974","1978",2.632,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Jamaica",18.08,-76.65,1570,15.3,2230,"89","Neotropics","Aw","Tropical mountain system","0.1","NAC","NAC","NAC","NAC","NAC",0,0,1,"tropical","ANPP_woody_stem","1976","1974","1978",0.94,TRUE,19.3,7.3,0.66,11.41,24.8,13.8,11,19.6,18,20.8,17.8,2421,395,93,49,1026,333,541,439,51.6987573099415,0,1257.25789473684,132.674473684211
27,"Bonanza 5A unmanaged","Ruess_2003_cfrd",200,1842,"Bonanza 5A","unmanaged","woody","2TEN","ANPP_foliage",NA,"1998","1999",0.11,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",64.75,-148.25,133,-3.5,269,"12","Nearctic","Dfc","Boreal tundra woodland","NAC","NAC","Initiation of post-disturbance cohort (natural)","NAC","Flood","NAC",0,0,0,"boreal","ANPP_woody_stem",NA,"1998","1999",0.28,TRUE,-3.3,11.1,0.22,139.76,21.9,-26.9,48.8,14.2,-11,14.2,-21.2,302,56,8,62,153,30,153,44,70.293932748538,233.809122807018,487.055263157895,109.436403508772
28,"Bonanza 5C unmanaged","Ruess_2003_cfrd",196,1849,"Bonanza 5C","unmanaged","woody","2TEN","ANPP_foliage",NA,"1998","1999",0.22,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",64.75,-148.25,129,-3.5,269,"12","Nearctic","Dfc","Boreal tundra woodland","NAC","1803","Initiation of post-disturbance cohort (natural)","NAC","Flood","NAC",0,0,0,"boreal","ANPP_woody_stem",NA,"1998","1999",0.56,TRUE,-3.3,11.1,0.22,139.76,21.9,-26.9,48.8,14.2,-11,14.2,-21.2,302,56,8,62,153,30,153,44,70.293932748538,233.809122807018,487.055263157895,109.436403508772
29,"Bonanza 5D unmanaged","Ruess_2003_cfrd",196,1854,"Bonanza 5D","unmanaged","woody","2TEN","ANPP_foliage",NA,"1998","1999",0.09,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",64.75,-148.25,NA,-3.5,269,"12","Nearctic","Dfc","Boreal tundra woodland","NAC","1803","Initiation of post-disturbance cohort (natural)","NAC","Flood","NAC",0,0,0,"boreal","ANPP_woody_stem",NA,"1998","1999",0.24,TRUE,-3.3,11.1,0.22,139.76,21.9,-26.9,48.8,14.2,-11,14.2,-21.2,302,56,8,62,153,30,153,44,70.293932748538,233.809122807018,487.055263157895,109.436403508772
30,"BOREAS University of California-1850 UCI-1850","Goulden_2011_pong",104,2010,"BOREAS University of California-1850","UCI-1850","woody","2TEN","ANPP_foliage","2004",NA,NA,0.39,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",55.879,-98.484,NA,NA,NA,"93","Nearctic","Dfc","Boreal coniferous forest","NAC","NAC","Initiation of post-disturbance cohort (natural)","1900","NAC","NAC",0,0,0,"boreal","ANPP_woody_stem","2004",NA,NA,0.75,TRUE,-3.1,11.3,0.21,140.56,22.2,-29.9,52.1,14,-19.5,14,-22.1,507,83,18,49,220,60,220,64,58.7209064327485,240.451929824561,525.350877192982,122.92298245614
31,"BOREAS University of California-1930 UCI-1930","Goulden_2011_pong",74,2026,"BOREAS University of California-1930","UCI-1930","woody","2TEN","ANPP_foliage","2004",NA,NA,0.5779,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",55.906,-98.525,NA,NA,NA,"93","Nearctic","Dfc","Boreal coniferous forest","NAC","NAC","Initiation of post-disturbance cohort (natural)","1930","NAC","NAC",0,0,0,"boreal","ANPP_woody_stem","2004",NA,NA,0.9746,TRUE,-3.1,11.3,0.21,140.71,22.1,-29.9,52,14,-19.6,14,-22.1,508,84,19,50,221,61,221,64,58.8433479532164,235.881842105263,539.8,113.430263157895
32,"Breitenbush Hot Springs 5 unmanaged","Luyssaert_2007_cbob",300,2360,"Breitenbush Hot Springs 5","unmanaged","woody","2TEN","ANPP_foliage","2001",NA,NA,2.08,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.7723,-121.9007,1310,NA,NA,"66","Nearctic","Csb","Temperate mountain system","NAC","1701","Initiation of post-disturbance cohort (natural)","1701","NAC","NAC",0,0,0,"temperate","ANPP_woody_stem","2001",NA,NA,1.23,TRUE,5.2,10.7,0.39,56.61,21.8,-5.4,27.2,-0.8,12.8,12.8,-1.3,1991,331,27,63,941,140,145,880,68.5766081871345,188.421403508772,733.973684210526,125.840263157895
33,"Cajunuma unmanaged","Moser_2011_eeot",999,2430,"Cajunuma","unmanaged","woody","2TEB","ANPP_foliage",NA,"2003","2004",0.92,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Ecuador",-4.12,-79.18,3060,9.399999619,4500,"114","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","ANPP_woody_stem",NA,"2003","2004",0.07,TRUE,14.6,10.3,0.88,3.1,20.7,9,11.7,14.6,14.1,14.9,14.1,1116,165,49,40,450,158,256,169,73.4066520467836,19.0785087719298,1607.17543859649,171.976140350877
34,"Canal Flats mesic 1 unmanaged","Comeau_1999_nbfc",70,2516,"Canal Flats mesic 1","unmanaged","woody","2TEN","ANPP_foliage","1984",NA,NA,0.91,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",50.1,-115.25,1340,1.4,634,"129","Nearctic","Dfc","Temperate mountain system","NAC","1914","Initiation of post-disturbance cohort (natural)","NAC","Burned","NAC",0,0,0,"temperate","ANPP_woody_stem","1984",NA,NA,2.02,TRUE,0.5,12.1,0.32,79.86,19.8,-17.2,37,4.2,6.9,10.5,-9.7,710,81,46,18,206,150,180,199,63.3780701754386,290.383596491228,564.793859649123,128.168333333333
35,"Canal Flats mesic 2 unmanaged","Comeau_1999_nbfc",78,2533,"Canal Flats mesic 2","unmanaged","woody","2TEN","ANPP_foliage","1984",NA,NA,1.34,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",50.1,-115.25,1340,1.4,634,"129","Nearctic","Dfc","Temperate mountain system","NAC","1906","Initiation of post-disturbance cohort (natural)","NAC","Burned","NAC",0,0,0,"temperate","ANPP_woody_stem","1984",NA,NA,2.02,TRUE,0.5,12.1,0.32,79.86,19.8,-17.2,37,4.2,6.9,10.5,-9.7,710,81,46,18,206,150,180,199,63.3780701754386,290.383596491228,564.793859649123,128.168333333333
36,"Canal Flats xeric 1 unmanaged","Comeau_1999_nbfc",70,2550,"Canal Flats xeric 1","unmanaged","woody","2TEN","ANPP_foliage","1984",NA,NA,0.57,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",50.1,-115.25,1340,1.4,634,"129","Nearctic","Dfc","Temperate mountain system","NAC","1914","Initiation of post-disturbance cohort (natural)","NAC","Burned","NAC",0,0,0,"temperate","ANPP_woody_stem","1984",NA,NA,1,TRUE,0.5,12.1,0.32,79.86,19.8,-17.2,37,4.2,6.9,10.5,-9.7,710,81,46,18,206,150,180,199,63.3780701754386,290.383596491228,564.793859649123,128.168333333333
