,site_plot,citation.ID,stand.age,date,measurement.ID,sites.sitename,plot.name,dominant.life.form,dominant.veg,variable.name.x,start.date.x,end.date.x,ANPP_canopy,min.dbh,required.citations,ForC.investigator,country,lat,lon,masl,mat,map,geographic.area,biogeog,Koeppen,FAO.ecozone,managed,disturbed,history.no.info,optional,AnnualMeanTemp,MeanDiurnalRange,TempSeasonality,TempRangeAnnual,AnnualPre,PreSeasonality,CloudCover,AnnualFrostDays,AnnualPET,AnnualWetDays,VapourPressure,SolarRadiation,biomes,ANPP_woody,ANPP_1
11,Bannadpare Mature Rain forest,Rai_1986_esof,999,NI,1136,Bannadpare,Mature Rain forest,woody,2TEB,ANPP_litterfall,NI,NI,1.9129,NA,Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",India,12.08,75.7,200,27,5310,62,Asia,Am,Tropical rainforest,0,0,1,TRUE,26.6,7.9,12.52,12.9,4283,122,47.9744883,0,1395.648246,100.6899123,0.257583334,730831.2,tropical,3.008,4.935
12,Barisian Mountains Pinang Pinang,Yoneda_1990_doab,999,NRA,18308,Barisian Mountains,Pinang Pinang,woody,2TEB,ANPP_litterfall,NRA,NRA,5.0102,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Indonesia,-0.88,100.35,NA,27,4800,NAC,Asia,Af,Tropical rainforest,0,0,0,TRUE,27.1,9,2.62,10,3982,25,65.16564327,0,1268.403509,210.1931579,0.284249999,606983.6,tropical,5.123,9.4
13,Battle Ax 6 unmanaged,Luyssaert_2007_cbob,67,2001,1299,Battle Ax 6,unmanaged,woody,2TEN,ANPP_foliage,NA,NA,1.37,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,44.8386,-122.2342,987,NA,NA,66,North America,Csb,Temperate mountain system,0,0,0,TRUE,6.5,10.1,52.37,24.9,2378,63,68.79429825,160.3940351,747.9245614,133.4398246,0.068500001,489987,temperate,2.04,3.4
14,Big Butte Springs 6 unmanaged,Luyssaert_2007_cbob,63,2001,1547,Big Butte Springs 6,unmanaged,woody,2TEN,ANPP_foliage,NA,NA,2.21,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,42.6025,-122.4755,969,NA,NA,74,North America,Csb,Temperate mountain system,0,0,0,TRUE,8.6,15.2,60.57,32.5,920,63,62.42207602,197.4075439,876.6719298,112.9767544,0.071916666,547099.4,temperate,1.81,4.02
15,Blue Mountain 5 unmanaged,Luyssaert_2007_cbob,73,2001,1791,Blue Mountain 5,unmanaged,woody,2TEN,ANPP_foliage,NA,NA,2.03,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,43.7037,-122.9292,876,NA,NA,88,North America,Csb,Temperate mountain system,0,0,0,TRUE,8.2,12.1,52.47,27.1,1719,65,64.75906433,119.8965789,877.5201754,120.1534211,0.077083333,503646.8,temperate,4.07,6.1
16,Blue Mountain 6 unmanaged,Luyssaert_2007_cbob,171,2001,1803,Blue Mountain 6,unmanaged,woody,2TEN,ANPP_foliage,NA,NA,3.28,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,43.7062,-122.9356,704,NA,NA,88,North America,Csb,Temperate mountain system,0,0,0,TRUE,8.9,12.2,52.03,27.1,1615,64,64.75906433,119.8965789,877.5201754,120.1534211,0.081833334,503012.2,temperate,4.08,7.36
17,"Blue Mtn. Mor Ridge ""old"" Tropical montane",Tanner_1980_sotb,999,1976,18309,Blue Mtn. Mor Ridge,"""old"" Tropical montane",woody,2TEB,ANPP_litterfall,1974,1978,3.1067,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Jamaica,18.08,-76.65,1615,15.8,2230,89,North America,Aw,Tropical mountain system,0,0,1,TRUE,19.3,7.3,11.41,11,2421,49,51.69875731,0,1257.257895,132.6744737,0.168833333,676367.7,tropical,0.47,3.572
18,"Blue Mtn. Mull Ridge ""old"" Tropical montane",Tanner_1980_sotb,999,1976,18310,Blue Mtn. Mull Ridge,"""old"" Tropical montane",woody,2TEB,ANPP_litterfall,1974,1978,2.585,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Jamaica,18.08,-76.65,1600,15.5,2230,89,North America,Aw,Tropical mountain system,0,0,1,TRUE,19.3,7.3,11.41,11,2421,49,51.69875731,0,1257.257895,132.6744737,0.168833333,676367.7,tropical,0.47,3.055
19,"Blue Mtn.Gap Forest ""old"" Tropical montane",Tanner_1980_sotb,999,1976,18311,Blue Mtn.Gap Forest,"""old"" Tropical montane",woody,2TEB,ANPP_litterfall,1974,1978,3.0409,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Jamaica,18.08,-76.65,1590,15.5,2230,89,North America,Aw,Tropical mountain system,0,0,1,TRUE,19.3,7.3,11.41,11,2421,49,51.69875731,0,1257.257895,132.6744737,0.168833333,676367.7,tropical,1.645,4.7
20,"Blue Mtn.Wet Slope Forest ""old"" Tropical montane",Tanner_1980_sotb,999,1976,18312,Blue Mtn.Wet Slope Forest,"""old"" Tropical montane",woody,2TEB,ANPP_litterfall,1974,1978,2.632,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Jamaica,18.08,-76.65,1570,15.3,2230,89,North America,Aw,Tropical mountain system,0,0,1,TRUE,19.3,7.3,11.41,11,2421,49,51.69875731,0,1257.257895,132.6744737,0.168833333,676367.7,tropical,0.94,3.572
21,Breitenbush Hot Springs 5 unmanaged,Luyssaert_2007_cbob,300,2001,2360,Breitenbush Hot Springs 5,unmanaged,woody,2TEN,ANPP_foliage,NA,NA,2.08,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,44.7723,-121.9007,1310,NA,NA,66,North America,Csb,Temperate mountain system,0,0,0,TRUE,5.2,10.7,56.61,27.2,1991,63,68.57660819,188.4214035,733.9736842,125.8402632,0.061166666,498816.8,temperate,1.23,3.3
22,Cajunuma unmanaged,Moser_2011_eeot,999,NA,2430,Cajunuma,unmanaged,woody,2TEB,ANPP_foliage,2003,2004,0.92,NA,Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Ecuador,-4.12,-79.18,3060,9.399999619,4500,114,South America,Cfb,Tropical mountain system,0,0,0,TRUE,14.6,10.3,3.1,11.7,1116,40,73.40665205,19.07850877,1607.175439,171.9761404,0.134333332,513864.5,tropical,0.07,0.99
23,Canal Flats mesic 1 unmanaged,Comeau_1999_nbfc,70,1984,2516,Canal Flats mesic 1,unmanaged,woody,2TEN,ANPP_foliage,NA,NA,0.91,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Canada,50.1,-115.25,1340,1.4,634,129,North America,Dfc,Temperate mountain system,0,0,0,TRUE,0.5,12.1,79.86,37,710,18,63.37807018,290.3835965,564.7938596,128.1683333,0.047166667,467212.5,temperate,2.02,2.93
24,Canal Flats mesic 2 unmanaged,Comeau_1999_nbfc,78,1984,2533,Canal Flats mesic 2,unmanaged,woody,2TEN,ANPP_foliage,NA,NA,1.34,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Canada,50.1,-115.25,1340,1.4,634,129,North America,Dfc,Temperate mountain system,0,0,0,TRUE,0.5,12.1,79.86,37,710,18,63.37807018,290.3835965,564.7938596,128.1683333,0.047166667,467212.5,temperate,2.02,3.36
25,Canal Flats xeric 1 unmanaged,Comeau_1999_nbfc,70,1984,2550,Canal Flats xeric 1,unmanaged,woody,2TEN,ANPP_foliage,NA,NA,0.57,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Canada,50.1,-115.25,1340,1.4,634,129,North America,Dfc,Temperate mountain system,0,0,0,TRUE,0.5,12.1,79.86,37,710,18,63.37807018,290.3835965,564.7938596,128.1683333,0.047166667,467212.5,temperate,1,1.57
26,Canal Flats xeric 2 unmanaged,Comeau_1999_nbfc,70,1984,2567,Canal Flats xeric 2,unmanaged,woody,2TEN,ANPP_foliage,NA,NA,0.57,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Canada,50.1,-115.25,1340,1.4,634,129,North America,Dfc,Temperate mountain system,0,0,0,TRUE,0.5,12.1,79.86,37,710,18,63.37807018,290.3835965,564.7938596,128.1683333,0.047166667,467212.5,temperate,0.91,1.48
27,Cascade Head 10 unmanaged,Luyssaert_2007_cbob,185,2001,2665,Cascade Head 10,unmanaged,woody,2TEN,ANPP_foliage,NA,NA,1.59,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,45.0679,-123.8882,255,NA,NA,137,North America,Csb,Temperate mountain system,0,0,0,TRUE,9.2,10,37.66,20.4,2747,66,69.49524854,81.03947368,696.477193,169.9778947,0.096083333,452242.3,temperate,1.83,3.42
28,Cascade Head 11 unmanaged,Luyssaert_2007_cbob,168,2001,2688,Cascade Head 11,unmanaged,woody,2TEN,ANPP_foliage,NA,NA,1.22,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,45.0819,-123.9038,236,NA,NA,137,North America,Csb,Temperate mountain system,0,0,0,TRUE,9.5,9.8,36.64,19.9,2649,65,69.49524854,81.03947368,696.477193,169.9778947,0.098583333,452063.3,temperate,1.47,2.68
29,Cascade Head 12 unmanaged,Luyssaert_2007_cbob,178,2001,2711,Cascade Head 12,unmanaged,woody,2TEN,ANPP_foliage,NA,NA,1.28,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,45.0445,-123.9007,261,NA,NA,137,North America,Csb,Temperate mountain system,0,0,0,TRUE,9.5,9.8,37.13,20,2662,65,69.49524854,81.03947368,696.477193,169.9778947,0.09825,453772.4,temperate,1.17,2.45
30,Caxiuana 1 CAX-01 terra firma,Malhi_2004_tacw,999,1996,18279,Caxiuana 1 CAX-01,terra firma,woody,2TEB,ANPP_litterfall,1994,1999,4.512,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Brazil,-1.7,-51.53,15,26.7,2220,140,South America,Am,Tropical rainforest,0,0,0,TRUE,26.8,9.7,4.56,11.2,2220,51,78.64656433,0,1110.22193,251.3558772,0.28775,568172.2,tropical,2.538,6.345
31,Caxiuana 2 CAX-02 terra firma,Malhi_2004_tacw,999,1997,18280,Caxiuana 2 CAX-02,terra firma,woody,2TEB,ANPP_litterfall,1995,1999,4.3099,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Brazil,-1.7,-51.53,15,26.7,2220,140,South America,Am,Tropical rainforest,0,0,0,TRUE,26.8,9.7,4.56,11.2,2220,51,78.64656433,0,1110.22193,251.3558772,0.28775,568172.2,tropical,2.0492,7.05
32,Caxiuana unmanaged,Luyssaert_2007_cbob,999,2005,2960,Caxiuana,unmanaged,woody,2TEB,ANPP_foliage,NA,NA,3.7,NA,Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Brazil,-1.72,-51.45,NA,NA,2500,140,South America,Af,Tropical rainforest,0,0,0,TRUE,26.7,9.8,4.17,11.3,2205,51,78.23530702,0,1111.834211,257.3783333,0.2875,566913.3,tropical,2.32,6.02
33,Chamela hill Hill,Martinez-Yrizar_1992_agpo,999,NI,18330,Chamela hill,Hill,woody,2TDB,ANPP_litterfall,NI,NI,1.8565,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Mexico,19.487,-105.034,NA,24.9,707,NAC,North America,As,Tropical dry forest,0,0,0,TRUE,26.2,12.8,16.53,17.6,790,110,50.88633041,0,0,59.99482456,0.247916669,672307.2,tropical,1.128,3.008
34,Chamela valley Valley,Martinez-Yrizar_1992_agpo,999,NI,18331,Chamela valley,Valley,woody,2TDB,ANPP_litterfall,NI,NI,3.055,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Mexico,19.487,-105.034,NA,24.9,707,NAC,North America,As,Tropical dry forest,0,0,0,TRUE,26.2,12.8,16.53,17.6,790,110,50.88633041,0,0,59.99482456,0.247916669,672307.2,tropical,1.41,4.465
35,Chhindwara Site I,Pande_2005_bapi,999,1998,18302,Chhindwara,Site I,woody,2TEB,ANPP_litterfall,1998,1998,1.551,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",India,21.67,78.67,NA,25,1247,NAC,Asia,As,Tropical dry forest,0,0,0,TRUE,26,12.6,43.64,29.6,1016,122,38.57361111,8.77E-05,1732.604386,55.14964912,0.176916665,720661.2,tropical,2.7683,4.324
36,Chhindwara Site II,Pande_2005_bapi,999,1998,18303,Chhindwara,Site II,woody,2TEB,ANPP_litterfall,1998,1998,2.1291,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",India,21.67,78.67,NA,25,1247,NAC,Asia,As,Tropical dry forest,0,0,0,TRUE,26,12.6,43.64,29.6,1016,122,38.57361111,8.77E-05,1732.604386,55.14964912,0.176916665,720661.2,tropical,2.0445,4.183
37,Chhindwara Site III,Pande_2005_bapi,999,1998,18304,Chhindwara,Site III,woody,2TEB,ANPP_litterfall,1998,1998,1.5369,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",India,21.67,78.67,NA,25,1247,NAC,Asia,As,Tropical dry forest,0,0,0,TRUE,26,12.6,43.64,29.6,1016,122,38.57361111,8.77E-05,1732.604386,55.14964912,0.176916665,720661.2,tropical,1.9411,3.478
38,Chhindwara Site IV,Pande_2005_bapi,999,1998,18305,Chhindwara,Site IV,woody,2TEB,ANPP_litterfall,1998,1998,1.551,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",India,21.67,78.67,NA,25,1247,NAC,Asia,As,Tropical dry forest,0,0,0,TRUE,26,12.6,43.64,29.6,1016,122,38.57361111,8.77E-05,1732.604386,55.14964912,0.176916665,720661.2,tropical,1.833,3.384
39,Cinnamon Bay I Cinnamon Bay,Weaver_2006_etef,999,NRA,18453,Cinnamon Bay I,Cinnamon Bay,woody,2TREE,ANPP_litterfall,NRA,NRA,4.042,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States Virgin Islands,18.33,-64.73,NA,24.8,1240,NAC,North America,Am,Tropical rainforest,0,0,0,TRUE,24.3,6.8,11.75,10,1289,34,56.94656433,0,0,162.4360526,0.243916668,722665.1,tropical,0.6627,4.747
40,Colorado Forest Colorado forest,Weaver_1990_fsap,999,1982,18454,Colorado Forest,Colorado forest,woody,2TEB,ANPP_litterfall,1981,1983,3.196,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,18.3,-65.7,725,NA,3725,81,North America,Am,Tropical rainforest,0,0,1,TRUE,25.7,8.6,12.31,12,1974,32,59.9997076,0,1199.021053,214.942193,0.253666663,684452.4,tropical,0.282,3.478
41,El Verde El Verde Dwarf,Weaver_1990_fsap,999,1982,18359,El Verde,El Verde Dwarf,woody,2TEB,ANPP_litterfall,1981,1983,1.645,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,18.42,-66,1000,23.1,4500,NAC,North America,Am,Tropical moist forest,0,0,0,TRUE,25.8,8.3,12.45,11.7,1655,27,59.9997076,0,1199.021053,214.942193,0.259750001,678615.6,tropical,0.2162,1.88
42,Emigrant Butte 6 unmanaged,Luyssaert_2007_cbob,118,2001,4882,Emigrant Butte 6,unmanaged,woody,2TEN,ANPP_foliage,NA,NA,1.54,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,43.4949,-122.1896,1439,NA,NA,240,North America,Csb,Temperate mountain system,0,0,0,TRUE,5.1,13.7,60.21,31.3,1318,67,64.13326023,201.5639474,822.6192982,117.5963158,0.058,527075.4,temperate,2.79,4.32
43,Grants Pass 6 unmanaged,Luyssaert_2007_cbob,307,2001,5670,Grants Pass 6,unmanaged,woody,2TEN,ANPP_foliage,NA,NA,1.93,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,42.4725,-123.2665,954,NA,NA,291,North America,Csb,Temperate mountain system,0,0,0,TRUE,9,14.4,56.17,30.2,860,69,62.14057018,132.0842982,947.277193,110.1292105,0.077583333,528552.7,temperate,2.85,4.78
44,Hainich unmanaged,Bascietto_2003_dots,252,NA,5892,Hainich,unmanaged,woody,2TDB,ANPP_foliage,2000,2002,1.7,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Germany,51.0792,10.453,440,8.09,794.92,305,Europe,Cfb,Temperate oceanic forest,0,0,0,TRUE,7.1,8.4,62.84,25.3,736,16,75.0377193,118.1057018,595.9719298,180.7215789,0.085666668,369192.6,temperate,1.77,3.47
45,Heishiding evergreen broadleaf forest,Zhanghe_1992_soba,999,NRA,18282,Heishiding,evergreen broadleaf forest,woody,2TREE,ANPP_litterfall,NRA,NRA,2.0116,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",China,23.45,111.88,380,19.6,1744,313,Asia,Cfa,Subtropical humid forest,0,0,1,TRUE,18.9,8.2,56.36,24.1,1596,64,71.93823099,1.991403509,997.9798246,169.3646491,0.18375,514670.3,subtropical,3.8446,5.875
46,Jacaranda plots 1-5 terra firma JAC-01,Malhi_2004_tacw,999,1999,18270,Jacaranda plots 1-5,terra firma JAC-01,woody,2TEB,ANPP_litterfall,1996,2002,3.102,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Brazil,-2.38,-60.1,73,27.1,2272,68,South America,Af,Tropical rainforest,0,0,0,TRUE,27,8.6,4.38,10.3,2491,32,81.61425439,0,1151.794737,243.7338596,0.286499997,540277.2,tropical,2.0774,5.17
47,Jacaranda plots 6-10 terra firma JAC-02,Malhi_2004_tacw,999,1999,18271,Jacaranda plots 6-10,terra firma JAC-02,woody,2TEB,ANPP_litterfall,1996,2002,3.102,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Brazil,-2.38,-60.1,73,27.1,2272,68,South America,Af,Tropical rainforest,0,0,0,TRUE,27,8.6,4.38,10.3,2491,32,81.61425439,0,1151.794737,243.7338596,0.286499997,540277.2,tropical,1.8988,4.982
48,Jenaro Tahuampa Seasonally flooded (4 months) JEN-09,Nebel_2001_safc,999,1993,18452,Jenaro Tahuampa,Seasonally flooded (4 months) JEN-09,woody,2TEB,ANPP_litterfall,1993,1993,3.2571,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Peru,-4.92,-73.73,116,26.69,2715,347,South America,Af,Tropical rainforest,0,0,0,TRUE,26.9,10.2,3.87,12.2,2614,20,81.18998538,0,1393.290351,238.0359649,0.28816667,483587.2,tropical,6.32855,11.139
49,Jezeri PO,Schulze_2000_tcan,79,1995,7235,Jezeri,PO,woody,2TDB,ANPP_foliage,NA,NA,1.77,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Czech Republic,50.55,13.46,750,5.9,935,348,Europe,Cfb,Temperate mountain system,0,0,0,TRUE,5.1,6.8,65.95,24.8,787,23,74.1869883,131.0028947,667.0745614,178.0578947,0.079583333,372622,temperate,2.02,3.79
50,Kagneri Mature Rain forest,Rai_1986_esof,999,NI,7466,Kagneri,Mature Rain forest,woody,2TEB,ANPP_litterfall,NI,NI,1.8706,NA,Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",India,12.82,75.6,500,28.6,6100,369,Asia,Aw,Tropical rainforest,0,0,1,TRUE,25.1,8.7,14.2,14.8,3612,126,46.48399123,0,1431.782456,92.85315789,0.235999998,735074.7,tropical,4.324,6.204
51,Kohala unmanaged Mature Metrosideros polymorpha,Herbert_1999_fpae,999,1993,18355,Kohala,unmanaged Mature Metrosideros polymorpha,woody,2TEB,ANPP_litterfall,1993,1993,2.914,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,20.14,-155.7,1122,16,2500,390,Oceania,Af,Tropical mountain system,0,0,0,TRUE,17.6,8.6,11.61,12.2,1078,38,63.78559942,0,0,198.3485088,0.163416666,634651.5,tropical,1.269,4.183
