"X","site_plot","citation.ID","stand.age","measurement.ID","sites.sitename","plot.name","dominant.life.form","dominant.veg","variable.name.x","date.x","start.date.x","end.date.x","ANPP","min.dbh","required.citations","ForC.investigator","country","lat","lon","masl","mat","map","geographic.area","biogeog","Koeppen","FAO.ecozone","plot.area","year.establishment.oldest.trees","regrowth.type","regrowth.year","distmrs.type","distmrs.yr","managed","disturbed","history.no.info","biomes","variable.name.y","date.y","start.date.y","end.date.y","BNPP_root_fine","optional","AnnualMeanTemp","MeanDiurnalRange","Isothermality","TempSeasonality","MaxTWarmestMonth","MinTColdestMonth","TempRangeAnnual","MeanTWetQ","MeanTDryQ","MeanTWarmQ","MeanTColdQ","AnnualPre","PreWetMonth","PreDryMonth","PreSeasonality","PreWetQ","PreDryQ","PreWarmQ","PreColdQ","CloudCover","AnnualFrostDays","AnnualPET","AnnualWetDays"
11,"Bonanza 5A unmanaged","Ruess_2003_cfrd",200,1844,"Bonanza 5A","unmanaged","woody","2TEN","ANPP",NA,"1998","1999",0.39,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",64.75,-148.25,133,-3.5,269,12,"Nearctic","Dfc","Boreal tundra woodland","NAC","NAC","Initiation of post-disturbance cohort (natural)","NAC","Flood","NAC",0,0,0,"boreal","BNPP_root_fine",NA,"1998","1999",1.86,TRUE,-3.3,11.1,0.22,139.76,21.9,-26.9,48.8,14.2,-11,14.2,-21.2,302,56,8,62,153,30,153,44,70.293932748538,233.809122807018,487.055263157895,109.436403508772
12,"Bonanza 5C unmanaged","Ruess_2003_cfrd",196,1851,"Bonanza 5C","unmanaged","woody","2TEN","ANPP",NA,"1998","1999",0.78,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",64.75,-148.25,129,-3.5,269,12,"Nearctic","Dfc","Boreal tundra woodland","NAC","1803","Initiation of post-disturbance cohort (natural)","NAC","Flood","NAC",0,0,0,"boreal","BNPP_root_fine",NA,"1998","1999",3.74,TRUE,-3.3,11.1,0.22,139.76,21.9,-26.9,48.8,14.2,-11,14.2,-21.2,302,56,8,62,153,30,153,44,70.293932748538,233.809122807018,487.055263157895,109.436403508772
13,"Bonanza 5D unmanaged","Ruess_2003_cfrd",196,1856,"Bonanza 5D","unmanaged","woody","2TEN","ANPP",NA,"1998","1999",0.33,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",64.75,-148.25,NA,-3.5,269,12,"Nearctic","Dfc","Boreal tundra woodland","NAC","1803","Initiation of post-disturbance cohort (natural)","NAC","Flood","NAC",0,0,0,"boreal","BNPP_root_fine",NA,"1998","1999",1.26,TRUE,-3.3,11.1,0.22,139.76,21.9,-26.9,48.8,14.2,-11,14.2,-21.2,302,56,8,62,153,30,153,44,70.293932748538,233.809122807018,487.055263157895,109.436403508772
14,"Bornhoved Alder unmanaged","Kutsch_2001_fmor",60,2140,"Bornhoved Alder","unmanaged","woody","2TDB","ANPP","1992",NA,NA,5.43,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Germany",54.1,10.23,NA,8.9,772,95,"Palearctic","Cfb","Temperate oceanic forest","NAC","1932","Initiation of post-disturbance cohort (natural)","1932","NAC","NAC",0,0,0,"temperate","BNPP_root_fine","1992",NA,NA,1.91,TRUE,8.1,7,0.29,60.07,21.1,-2.4,23.5,15.7,3.2,15.7,0.5,742,80,46,18,223,139,223,177,70.6866959064327,91.3334210526316,593.461403508772,177.376666666667
15,"Bornhoved Alder unmanaged","Kutsch_2001_fmor",61,2141,"Bornhoved Alder","unmanaged","woody","2TDB","ANPP","1993",NA,NA,5.33,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Germany",54.1,10.23,NA,8.9,772,95,"Palearctic","Cfb","Temperate oceanic forest","NAC","1932","Initiation of post-disturbance cohort (natural)","1932","NAC","NAC",0,0,0,"temperate","BNPP_root_fine","1993",NA,NA,1.9,TRUE,8.1,7,0.29,60.07,21.1,-2.4,23.5,15.7,3.2,15.7,0.5,742,80,46,18,223,139,223,177,70.6866959064327,91.3334210526316,593.461403508772,177.376666666667
16,"Cajunuma unmanaged","Moser_2011_eeot",999,2427,"Cajunuma","unmanaged","woody","2TEB","ANPP",NA,"2003","2004",0.99,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Ecuador",-4.12,-79.18,3060,9.399999619,4500,114,"Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","BNPP_root_fine",NA,"2003","2004",4.7,TRUE,14.6,10.3,0.88,3.1,20.7,9,11.7,14.6,14.1,14.9,14.1,1116,165,49,40,450,158,256,169,73.4066520467836,19.0785087719298,1607.17543859649,171.976140350877
17,"Cajunuma unmanaged","Moser_2011_eeot",999,2428,"Cajunuma","unmanaged","woody","2TEB","ANPP",NA,"2003","2004",1.18,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Ecuador",-4.12,-79.18,3060,9.399999619,4500,114,"Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","BNPP_root_fine",NA,"2003","2004",4.7,TRUE,14.6,10.3,0.88,3.1,20.7,9,11.7,14.6,14.1,14.9,14.1,1116,165,49,40,450,158,256,169,73.4066520467836,19.0785087719298,1607.17543859649,171.976140350877
18,"Canal Flats mesic 1 unmanaged","Comeau_1999_nbfc",70,2517,"Canal Flats mesic 1","unmanaged","woody","2TEN","ANPP","1984",NA,NA,2.93,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",50.1,-115.25,1340,1.4,634,129,"Nearctic","Dfc","Temperate mountain system","NAC","1914","Initiation of post-disturbance cohort (natural)","NAC","Burned","NAC",0,0,0,"temperate","BNPP_root_fine","1984",NA,NA,2.26,TRUE,0.5,12.1,0.32,79.86,19.8,-17.2,37,4.2,6.9,10.5,-9.7,710,81,46,18,206,150,180,199,63.3780701754386,290.383596491228,564.793859649123,128.168333333333
19,"Canal Flats mesic 1 unmanaged","Comeau_1999_nbfc",70,2520,"Canal Flats mesic 1","unmanaged","woody","2TEN","ANPP","1984",NA,NA,3.07,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",50.1,-115.25,1340,1.4,634,129,"Nearctic","Dfc","Temperate mountain system","NAC","1914","Initiation of post-disturbance cohort (natural)","NAC","Burned","NAC",0,0,0,"temperate","BNPP_root_fine","1984",NA,NA,2.26,TRUE,0.5,12.1,0.32,79.86,19.8,-17.2,37,4.2,6.9,10.5,-9.7,710,81,46,18,206,150,180,199,63.3780701754386,290.383596491228,564.793859649123,128.168333333333
20,"Canal Flats mesic 2 unmanaged","Comeau_1999_nbfc",78,2534,"Canal Flats mesic 2","unmanaged","woody","2TEN","ANPP","1984",NA,NA,3.36,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",50.1,-115.25,1340,1.4,634,129,"Nearctic","Dfc","Temperate mountain system","NAC","1906","Initiation of post-disturbance cohort (natural)","NAC","Burned","NAC",0,0,0,"temperate","BNPP_root_fine","1984",NA,NA,1.78,TRUE,0.5,12.1,0.32,79.86,19.8,-17.2,37,4.2,6.9,10.5,-9.7,710,81,46,18,206,150,180,199,63.3780701754386,290.383596491228,564.793859649123,128.168333333333
21,"Canal Flats mesic 2 unmanaged","Comeau_1999_nbfc",78,2537,"Canal Flats mesic 2","unmanaged","woody","2TEN","ANPP","1984",NA,NA,3.55,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",50.1,-115.25,1340,1.4,634,129,"Nearctic","Dfc","Temperate mountain system","NAC","1906","Initiation of post-disturbance cohort (natural)","NAC","Burned","NAC",0,0,0,"temperate","BNPP_root_fine","1984",NA,NA,1.78,TRUE,0.5,12.1,0.32,79.86,19.8,-17.2,37,4.2,6.9,10.5,-9.7,710,81,46,18,206,150,180,199,63.3780701754386,290.383596491228,564.793859649123,128.168333333333
22,"Canal Flats xeric 1 unmanaged","Comeau_1999_nbfc",70,2551,"Canal Flats xeric 1","unmanaged","woody","2TEN","ANPP","1984",NA,NA,1.57,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",50.1,-115.25,1340,1.4,634,129,"Nearctic","Dfc","Temperate mountain system","NAC","1914","Initiation of post-disturbance cohort (natural)","NAC","Burned","NAC",0,0,0,"temperate","BNPP_root_fine","1984",NA,NA,1.87,TRUE,0.5,12.1,0.32,79.86,19.8,-17.2,37,4.2,6.9,10.5,-9.7,710,81,46,18,206,150,180,199,63.3780701754386,290.383596491228,564.793859649123,128.168333333333
23,"Canal Flats xeric 1 unmanaged","Comeau_1999_nbfc",70,2554,"Canal Flats xeric 1","unmanaged","woody","2TEN","ANPP","1984",NA,NA,1.67,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",50.1,-115.25,1340,1.4,634,129,"Nearctic","Dfc","Temperate mountain system","NAC","1914","Initiation of post-disturbance cohort (natural)","NAC","Burned","NAC",0,0,0,"temperate","BNPP_root_fine","1984",NA,NA,1.87,TRUE,0.5,12.1,0.32,79.86,19.8,-17.2,37,4.2,6.9,10.5,-9.7,710,81,46,18,206,150,180,199,63.3780701754386,290.383596491228,564.793859649123,128.168333333333
24,"Canal Flats xeric 2 unmanaged","Comeau_1999_nbfc",70,2568,"Canal Flats xeric 2","unmanaged","woody","2TEN","ANPP","1984",NA,NA,1.48,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",50.1,-115.25,1340,1.4,634,129,"Nearctic","Dfc","Temperate mountain system","NAC","1914","Initiation of post-disturbance cohort (natural)","NAC","Burned","NAC",0,0,0,"temperate","BNPP_root_fine","1984",NA,NA,2.83,TRUE,0.5,12.1,0.32,79.86,19.8,-17.2,37,4.2,6.9,10.5,-9.7,710,81,46,18,206,150,180,199,63.3780701754386,290.383596491228,564.793859649123,128.168333333333
25,"Canal Flats xeric 2 unmanaged","Comeau_1999_nbfc",70,2571,"Canal Flats xeric 2","unmanaged","woody","2TEN","ANPP","1984",NA,NA,1.58,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",50.1,-115.25,1340,1.4,634,129,"Nearctic","Dfc","Temperate mountain system","NAC","1914","Initiation of post-disturbance cohort (natural)","NAC","Burned","NAC",0,0,0,"temperate","BNPP_root_fine","1984",NA,NA,2.83,TRUE,0.5,12.1,0.32,79.86,19.8,-17.2,37,4.2,6.9,10.5,-9.7,710,81,46,18,206,150,180,199,63.3780701754386,290.383596491228,564.793859649123,128.168333333333
26,"Cascade Head 10 unmanaged","Luyssaert_2007_cbob",185,2669,"Cascade Head 10","unmanaged","woody","2TEN","ANPP","2001",NA,NA,3.58,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",45.0679,-123.8882,255,NA,NA,137,"Nearctic","Csb","Temperate mountain system","NAC","1816","Initiation of post-disturbance cohort (natural)","1816","NAC","NAC",0,0,0,"temperate","BNPP_root_fine","2001",NA,NA,1.55,TRUE,9.2,10,0.49,37.66,21.1,0.7,20.4,5.2,13.9,14.3,4.8,2747,461,35,66,1313,167,177,1226,69.4952485380117,81.0394736842105,696.477192982456,169.977894736842
27,"Cascade Head 10 unmanaged","Luyssaert_2007_cbob",185,2666,"Cascade Head 10","unmanaged","woody","2TEN","ANPP","2001",NA,NA,3.42,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",45.0679,-123.8882,255,NA,NA,137,"Nearctic","Csb","Temperate mountain system","NAC","1816","Initiation of post-disturbance cohort (natural)","1816","NAC","NAC",0,0,0,"temperate","BNPP_root_fine","2001",NA,NA,1.55,TRUE,9.2,10,0.49,37.66,21.1,0.7,20.4,5.2,13.9,14.3,4.8,2747,461,35,66,1313,167,177,1226,69.4952485380117,81.0394736842105,696.477192982456,169.977894736842
28,"Cascade Head 11 unmanaged","Luyssaert_2007_cbob",168,2689,"Cascade Head 11","unmanaged","woody","2TEN","ANPP","2001",NA,NA,2.68,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",45.0819,-123.9038,236,NA,NA,137,"Nearctic","Csb","Temperate mountain system","NAC","1833","Initiation of post-disturbance cohort (natural)","1833","NAC","NAC",0,0,0,"temperate","BNPP_root_fine","2001",NA,NA,1.98,TRUE,9.5,9.8,0.49,36.64,21,1.1,19.9,5.5,14,14.4,5.1,2649,440,36,65,1257,167,176,1172,69.4952485380117,81.0394736842105,696.477192982456,169.977894736842
29,"Cascade Head 11 unmanaged","Luyssaert_2007_cbob",168,2692,"Cascade Head 11","unmanaged","woody","2TEN","ANPP","2001",NA,NA,2.93,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",45.0819,-123.9038,236,NA,NA,137,"Nearctic","Csb","Temperate mountain system","NAC","1833","Initiation of post-disturbance cohort (natural)","1833","NAC","NAC",0,0,0,"temperate","BNPP_root_fine","2001",NA,NA,1.98,TRUE,9.5,9.8,0.49,36.64,21,1.1,19.9,5.5,14,14.4,5.1,2649,440,36,65,1257,167,176,1172,69.4952485380117,81.0394736842105,696.477192982456,169.977894736842
30,"Cascade Head 12 unmanaged","Luyssaert_2007_cbob",178,2715,"Cascade Head 12","unmanaged","woody","2TEN","ANPP","2001",NA,NA,2.59,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",45.0445,-123.9007,261,NA,NA,137,"Nearctic","Csb","Temperate mountain system","NAC","1823","Initiation of post-disturbance cohort (natural)","1823","NAC","NAC",0,0,0,"temperate","BNPP_root_fine","2001",NA,NA,1.43,TRUE,9.5,9.8,0.49,37.13,21.1,1.1,20,5.5,14.2,14.5,5.1,2662,444,35,65,1266,166,175,1182,69.4952485380117,81.0394736842105,696.477192982456,169.977894736842
31,"Cascade Head 12 unmanaged","Luyssaert_2007_cbob",178,2712,"Cascade Head 12","unmanaged","woody","2TEN","ANPP","2001",NA,NA,2.45,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",45.0445,-123.9007,261,NA,NA,137,"Nearctic","Csb","Temperate mountain system","NAC","1823","Initiation of post-disturbance cohort (natural)","1823","NAC","NAC",0,0,0,"temperate","BNPP_root_fine","2001",NA,NA,1.43,TRUE,9.5,9.8,0.49,37.13,21.1,1.1,20,5.5,14.2,14.5,5.1,2662,444,35,65,1266,166,175,1182,69.4952485380117,81.0394736842105,696.477192982456,169.977894736842
32,"Caxiuana Drought Control CAX-04 largely undisturbed terra firma forest","Aragao_2009_aabn",999,2991,"Caxiuana Drought Control CAX-04","largely undisturbed terra firma forest","woody","2TEB","ANPP",NA,"2004","2006",6.768,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-1.72,-51.46,47,25.8,2311,140,"Neotropics","Af","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","BNPP_root_fine",NA,"2004","2006",3.76,TRUE,26.8,9.7,0.86,4.15,32.9,21.7,11.2,26.5,27.3,27.3,26.2,2204,307,64,51,900,209,209,816,78.2353070175439,0,1111.83421052632,257.378333333333
33,"Caxiuana Terra Preta CAX-08 unmanaged Late successional forest","Aragao_2009_aabn",999,3000,"Caxiuana Terra Preta CAX-08","unmanaged Late successional forest","woody","2TEB","ANPP",NA,"2004","2006",8.46,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-1.72,-51.5,NA,26.89999962,2314,140,"Neotropics","Am","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","1960",0,0,0,"tropical","BNPP_root_fine",NA,"2004","2006",7.144,TRUE,26.7,9.7,0.85,4.48,32.9,21.5,11.4,26.3,27.2,27.2,26.1,2207,309,63,51,906,208,208,814,78.2353070175439,0,1111.83421052632,257.378333333333
34,"Caxiuana Tower CAX-06 tall primary forest near flux tower site","Aragao_2009_aabn",999,3013,"Caxiuana Tower CAX-06","tall primary forest near flux tower site","woody","2TEB","ANPP",NA,"2004","2006",6.298,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-1.74,-51.46,47,25.8,2311,140,"Neotropics","Af","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","BNPP_root_fine",NA,"2004","2006",3.666,TRUE,26.7,9.8,0.86,4.17,32.9,21.6,11.3,26.5,27.2,27.2,26.1,2193,307,62,52,900,204,204,815,78.2353070175439,0,1111.83421052632,257.378333333333
35,"Caxiuana unmanaged","Luyssaert_2007_cbob",999,2964,"Caxiuana","unmanaged","woody","2TEB","ANPP","2005",NA,NA,6.42,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-1.72,-51.45,NA,NA,2500,140,"Neotropics","Af","Tropical rainforest","NAC","NAC","NAC","NAC","No disturbance","1970",0,0,0,"tropical","BNPP_root_fine","2005",NA,NA,2.08,TRUE,26.7,9.8,0.86,4.17,32.9,21.6,11.3,26.5,27.2,27.2,26.1,2205,307,64,51,900,209,209,819,78.2353070175439,0,1111.83421052632,257.378333333333
36,"Caxiuana unmanaged","Luyssaert_2007_cbob",999,2961,"Caxiuana","unmanaged","woody","2TEB","ANPP","2005",NA,NA,6.02,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-1.72,-51.45,NA,NA,2500,140,"Neotropics","Af","Tropical rainforest","NAC","NAC","NAC","NAC","No disturbance","1970",0,0,0,"tropical","BNPP_root_fine","2005",NA,NA,2.08,TRUE,26.7,9.8,0.86,4.17,32.9,21.6,11.3,26.5,27.2,27.2,26.1,2205,307,64,51,900,209,209,819,78.2353070175439,0,1111.83421052632,257.378333333333
