"","site_plot","citation.ID","stand.age","measurement.ID","sites.sitename","plot.name","dominant.life.form","dominant.veg","variable.name.x","date.x","start.date.x","end.date.x","mean.x","min.dbh","required.citations","ForC.investigator","country","lat","lon","masl","mat","map","geographic.area","biogeog","Koeppen","FAO.ecozone","plot.area","year.establishment.oldest.trees","regrowth.type","regrowth.year","distmrs.type","distmrs.year","managed","disturbed","history.no.info","optional","AnnualMeanTemp","MeanDiurnalRange","TempSeasonality","TempRangeAnnual","AnnualPre","PreSeasonality","CloudCover","AnnualFrostDays","AnnualPET","AnnualWetDays","VapourPressure","SolarRadiation","Aridity","PotentialEvapotranspiration","VapourPressureDeficit","biomes","variable.name.y","date.y","start.date.y","end.date.y","mean.y","ratio"
"11","Big Butte Springs 6 unmanaged","Luyssaert_2007_cbob",63,1548,"Big Butte Springs 6","unmanaged","woody","2TEN","ANPP_1","2001",NA,NA,4.02,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",42.6025,-122.4755,969,NA,NA,"74","North America","Csb","Temperate mountain system","NAC","1938","Initiation of post-disturbance cohort (natural)","1938","NAC","NAC",0,0,0,TRUE,8.6,15.2,60.57,32.5,920,63,62.42207602,197.4075439,876.6719298,112.9767544,0.071916666,547099.4,6807,1388,0.737916667,"temperate","ANPP_2","2001",NA,NA,2.08,1.93269230769231
"12","Blue Mountain 5 unmanaged","Luyssaert_2007_cbob",73,1792,"Blue Mountain 5","unmanaged","woody","2TEN","ANPP_1","2001",NA,NA,6.1,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",43.7037,-122.9292,876,NA,NA,"88","North America","Csb","Temperate mountain system","NAC","1928","Initiation of post-disturbance cohort (natural)","1928","NAC","NAC",0,0,0,TRUE,8.2,12.1,52.47,27.1,1719,65,64.75906433,119.8965789,877.5201754,120.1534211,0.077083333,503646.8,16022,1192,0.584805556,"temperate","ANPP_2","2001",NA,NA,4.6,1.32608695652174
"13","Blue Mountain 6 unmanaged","Luyssaert_2007_cbob",171,1804,"Blue Mountain 6","unmanaged","woody","2TEN","ANPP_1","2001",NA,NA,7.36,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",43.7062,-122.9356,704,NA,NA,"88","North America","Csb","Temperate mountain system","NAC","1830","Initiation of post-disturbance cohort (natural)","1830","NAC","NAC",0,0,0,TRUE,8.9,12.2,52.03,27.1,1615,64,64.75906433,119.8965789,877.5201754,120.1534211,0.081833334,503012.2,14811,1198,0.584805556,"temperate","ANPP_2","2001",NA,NA,4.55,1.61758241758242
"14","Breitenbush Hot Springs 5 unmanaged","Luyssaert_2007_cbob",300,2361,"Breitenbush Hot Springs 5","unmanaged","woody","2TEN","ANPP_1","2001",NA,NA,3.3,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.7723,-121.9007,1310,NA,NA,"66","North America","Csb","Temperate mountain system","NAC","1701","Initiation of post-disturbance cohort (natural)","1701","NAC","NAC",0,0,0,TRUE,5.2,10.7,56.61,27.2,1991,63,68.57660819,188.4214035,733.9736842,125.8402632,0.061166666,498816.8,17592,1117,0.4855,"temperate","ANPP_2","2001",NA,NA,1.63,2.02453987730061
"15","Breitenbush Hot Springs 6 unmanaged","Luyssaert_2007_cbob",282,2372,"Breitenbush Hot Springs 6","unmanaged","woody","2TEN","ANPP_1","2001",NA,NA,3.06,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.7855,-121.8935,1383,NA,NA,"66","North America","Csb","Temperate mountain system","NAC","1719","Initiation of post-disturbance cohort (natural)","1719","NAC","NAC",0,0,0,TRUE,5.4,10.8,56.63,27.2,1967,63,68.57660819,188.4214035,733.9736842,125.8402632,0.061166666,498739.2,17709,1105,0.4855,"temperate","ANPP_2","2001",NA,NA,3.9,0.784615384615385
"16","Cajunuma unmanaged","Moser_2011_eeot",999,2427,"Cajunuma","unmanaged","woody","2TEB","ANPP_1",NA,"2003","2004",0.99,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Ecuador",-4.12,-79.18,3060,9.399999619,4500,"114","South America","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,TRUE,14.6,10.3,3.1,11.7,1116,40,73.40665205,19.07850877,1607.175439,171.9761404,0.134333332,513864.5,9708,1158,0.393263889,"tropical","ANPP_2",NA,"2003","2004",1.18,0.838983050847458
"17","Canal Flats mesic 1 unmanaged","Comeau_1999_nbfc",70,2517,"Canal Flats mesic 1","unmanaged","woody","2TEN","ANPP_1","1984",NA,NA,2.93,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",50.1,-115.25,1340,1.4,634,"129","North America","Dfc","Temperate mountain system","NAC","1914","Initiation of post-disturbance cohort (natural)","NAC","Burned","NAC",0,0,0,TRUE,0.5,12.1,79.86,37,710,18,63.37807018,290.3835965,564.7938596,128.1683333,0.047166667,467212.5,7802,877,0.345041667,"temperate","ANPP_2","1984",NA,NA,3.07,0.954397394136808
"18","Canal Flats mesic 2 unmanaged","Comeau_1999_nbfc",78,2534,"Canal Flats mesic 2","unmanaged","woody","2TEN","ANPP_1","1984",NA,NA,3.36,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",50.1,-115.25,1340,1.4,634,"129","North America","Dfc","Temperate mountain system","NAC","1906","Initiation of post-disturbance cohort (natural)","NAC","Burned","NAC",0,0,0,TRUE,0.5,12.1,79.86,37,710,18,63.37807018,290.3835965,564.7938596,128.1683333,0.047166667,467212.5,7802,877,0.345041667,"temperate","ANPP_2","1984",NA,NA,3.55,0.946478873239437
"19","Canal Flats xeric 1 unmanaged","Comeau_1999_nbfc",70,2551,"Canal Flats xeric 1","unmanaged","woody","2TEN","ANPP_1","1984",NA,NA,1.57,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",50.1,-115.25,1340,1.4,634,"129","North America","Dfc","Temperate mountain system","NAC","1914","Initiation of post-disturbance cohort (natural)","NAC","Burned","NAC",0,0,0,TRUE,0.5,12.1,79.86,37,710,18,63.37807018,290.3835965,564.7938596,128.1683333,0.047166667,467212.5,7802,877,0.345041667,"temperate","ANPP_2","1984",NA,NA,1.67,0.940119760479042
"20","Canal Flats xeric 2 unmanaged","Comeau_1999_nbfc",70,2568,"Canal Flats xeric 2","unmanaged","woody","2TEN","ANPP_1","1984",NA,NA,1.48,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",50.1,-115.25,1340,1.4,634,"129","North America","Dfc","Temperate mountain system","NAC","1914","Initiation of post-disturbance cohort (natural)","NAC","Burned","NAC",0,0,0,TRUE,0.5,12.1,79.86,37,710,18,63.37807018,290.3835965,564.7938596,128.1683333,0.047166667,467212.5,7802,877,0.345041667,"temperate","ANPP_2","1984",NA,NA,1.58,0.936708860759494
"21","Cascade Head 10 unmanaged","Luyssaert_2007_cbob",185,2666,"Cascade Head 10","unmanaged","woody","2TEN","ANPP_1","2001",NA,NA,3.42,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",45.0679,-123.8882,255,NA,NA,"137","North America","Csb","Temperate mountain system","NAC","1816","Initiation of post-disturbance cohort (natural)","1816","NAC","NAC",0,0,0,TRUE,9.2,10,37.66,20.4,2747,66,69.49524854,81.03947368,696.477193,169.9778947,0.096083333,452242.3,31760,869,0.322152778,"temperate","ANPP_2","2001",NA,NA,3.58,0.955307262569832
"22","Cascade Head 11 unmanaged","Luyssaert_2007_cbob",168,2689,"Cascade Head 11","unmanaged","woody","2TEN","ANPP_1","2001",NA,NA,2.68,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",45.0819,-123.9038,236,NA,NA,"137","North America","Csb","Temperate mountain system","NAC","1833","Initiation of post-disturbance cohort (natural)","1833","NAC","NAC",0,0,0,TRUE,9.5,9.8,36.64,19.9,2649,65,69.49524854,81.03947368,696.477193,169.9778947,0.098583333,452063.3,30721,865,0.322152778,"temperate","ANPP_2","2001",NA,NA,2.93,0.914675767918089
"23","Cascade Head 12 unmanaged","Luyssaert_2007_cbob",178,2712,"Cascade Head 12","unmanaged","woody","2TEN","ANPP_1","2001",NA,NA,2.45,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",45.0445,-123.9007,261,NA,NA,"137","North America","Csb","Temperate mountain system","NAC","1823","Initiation of post-disturbance cohort (natural)","1823","NAC","NAC",0,0,0,TRUE,9.5,9.8,37.13,20,2662,65,69.49524854,81.03947368,696.477193,169.9778947,0.09825,453772.4,29886,895,0.322152778,"temperate","ANPP_2","2001",NA,NA,2.59,0.945945945945946
"24","Caxiuana unmanaged","Luyssaert_2007_cbob",999,2961,"Caxiuana","unmanaged","woody","2TEB","ANPP_1","2005",NA,NA,6.02,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-1.72,-51.45,NA,NA,2500,"140","South America","Af","Tropical rainforest","NAC","NAC","NAC","NAC","No disturbance","1970",0,0,0,TRUE,26.7,9.8,4.17,11.3,2205,51,78.23530702,0,1111.834211,257.3783333,0.2875,566913.3,15655,1412,0.588013889,"tropical","ANPP_2","2005",NA,NA,6.42,0.937694704049844
"25","Chakia tropical dry deciduous forest","DeAngelis_1981_pofe",60,20297,"Chakia","tropical dry deciduous forest","woody","2TDB","ANPP_1","1971",NA,NA,1.1421,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","India",25.33,83,350,25.6,844,"151","Asia","Cwa","Tropical dry forest","NAC","1911","Initiation of post-disturbance cohort (planted or natural)","1911","NAC","NAC",0,0,0,TRUE,26.1,12.4,59.44,32.1,995,132,38.89247076,0.465,1568.447368,44.20921053,0.21175,701672.5,5286,1972,1.719138889,"tropical","ANPP_2","1971",NA,NA,3.73086,0.306122448979592
"26","El Verde secondary forest mature secondary","Lugo_1992_cott",51,4821,"El Verde secondary forest","mature secondary","woody","2TEB","ANPP_1",NA,"1982","1984",5.781,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",18.3,-66.833333,200,22.3,3920,"184","North America","Am","Tropical rainforest","0.2","1930","Initiation of post-disturbance cohort (natural)","1930","NAC","NAC",0,0,0,TRUE,23.6,11,11.8,14.4,2220,39,60.90665205,0,1098.628947,210.7945614,0.235333331,683287.5,12291,1742,0.730736111,"tropical","ANPP_2","1982","1980","1983",6.768,0.854166666666667
"27","Emigrant Butte 4 unmanaged","Luyssaert_2007_cbob",442,4861,"Emigrant Butte 4","unmanaged","woody","2TEN","ANPP_1","2001",NA,NA,2.02,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",43.4991,-122.1899,1487,NA,NA,"240","North America","Csb","Temperate mountain system","NAC","1559","Initiation of post-disturbance cohort (natural)","1559","NAC","NAC",0,0,0,TRUE,5.1,13.7,60.21,31.3,1318,67,64.13326023,201.5639474,822.6192982,117.5963158,0.058,527075.4,12351,1089,0.491236111,"temperate","ANPP_2","2001",NA,NA,2.62,0.770992366412214
"28","Emigrant Butte 6 unmanaged","Luyssaert_2007_cbob",118,4883,"Emigrant Butte 6","unmanaged","woody","2TEN","ANPP_1","2001",NA,NA,4.32,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",43.4949,-122.1896,1439,NA,NA,"240","North America","Csb","Temperate mountain system","NAC","1883","Initiation of post-disturbance cohort (natural)","1883","NAC","NAC",0,0,0,TRUE,5.1,13.7,60.21,31.3,1318,67,64.13326023,201.5639474,822.6192982,117.5963158,0.058,527075.4,12351,1089,0.491236111,"temperate","ANPP_2","2001",NA,NA,3.25,1.32923076923077
"29","Fontainebleu Fontainebleu","DeAngelis_1981_pofe",999,20294,"Fontainebleu","Fontainebleu","woody","2TDB","ANPP_1","1970","1968","1974",1.5698,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","France",48.4764,2.7801,135,10.15,674,"NAC","Europe","Cfb","Temperate oceanic forest","NAC","NAC","Initiation of post-disturbance cohort (planted or natural)","NAC","NAC","NAC",0,0,0,TRUE,10.9,8.9,57.26,24.4,647,9,67.4629386,63.4022807,789.2105263,166.4426316,0.104583334,419736.9,6808,929,0.397305556,"temperate","ANPP_2","1970","1968","1974",2.068,0.759090909090909
"30","Grants Pass 6 unmanaged","Luyssaert_2007_cbob",307,5671,"Grants Pass 6","unmanaged","woody","2TEN","ANPP_1","2001",NA,NA,4.78,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",42.4725,-123.2665,954,NA,NA,"291","North America","Csb","Temperate mountain system","NAC","1694","Initiation of post-disturbance cohort (natural)","1694","NAC","NAC",0,0,0,TRUE,9,14.4,56.17,30.2,860,69,62.14057018,132.0842982,947.277193,110.1292105,0.077583333,528552.7,8536,1372,0.800888889,"temperate","ANPP_2","2001",NA,NA,3.26,1.46625766871166
"31","Hainich unmanaged","Bascietto_2003_dots",252,5893,"Hainich","unmanaged","woody","2TDB","ANPP_1",NA,"2000","2002",3.47,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Germany",51.0792,10.453,440,8.09,794.92,"305","Europe","Cfb","Temperate oceanic forest","NAC","1750","Initiation of post-disturbance cohort (natural)","1750","NAC","NAC",0,0,0,TRUE,7.1,8.4,62.84,25.3,736,16,75.0377193,118.1057018,595.9719298,180.7215789,0.085666668,369192.6,10667,815,0.347,"temperate","ANPP_2",NA,"2000","2002",3.47,1
"32","Hestehaven NI","DeAngelis_1981_pofe",85,20293,"Hestehaven","NI","woody","2TDB","ANPP_1","1970",NA,NA,6.627,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Denmark",56.3,10.48,11,7.1,660,"317","Europe","Cfb","Temperate oceanic forest","NAC","1885","Initiation of post-disturbance cohort (planted or natural)","1885","NAC","NAC",0,0,0,TRUE,7.6,6.9,59.02,24,593,21,68.13369883,121.0680702,534.8368421,169.0034211,0.09375,353034.9,9598,694,0.250263889,"temperate","ANPP_2","1970",NA,NA,3.3135,2
"33","Jezeri PO","Schulze_2000_tcan",79,7236,"Jezeri","PO","woody","2TDB","ANPP_1","1995",NA,NA,3.79,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Czech Republic",50.55,13.46,750,5.9,935,"348","Europe","Cfb","Temperate mountain system","NAC","1916","Planted","NAC","NAC","NAC",0,0,0,TRUE,5.1,6.8,65.95,24.8,787,23,74.1869883,131.0028947,667.0745614,178.0578947,0.079583333,372622,12382,724,0.254458333,"temperate","ANPP_2","1995",NA,NA,5.99,0.632721202003339
"34","Langarod NI","DeAngelis_1981_pofe",103,20307,"Langarod","NI","woody","2TDB","ANPP_1",NA,"1966","1969",4.465,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Sweden",55.75,13.92,120,6,900,"410","Europe","Cfb","Temperate oceanic forest","NAC","1866","Initiation of post-disturbance cohort (planted or natural)","1866","NAC","NAC",0,0,0,TRUE,7.1,5.8,61.58,22.6,661,20,65.79108187,120.0007895,581.0078947,174.1252632,0.085416666,360666.8,11298,713,0.241458333,"temperate","ANPP_2",NA,"1966","1969",2.3406,1.90763052208835
"35","Les Na Vorskle_7 Site 7","DeAngelis_1981_pofe",80,20312,"Les Na Vorskle_7","Site 7","woody","2TREE","ANPP_1","1970","1966","1971",3.9245,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Russia",50.6,36,195,6,537,"NAC","Europe","Dfb","Temperate continental forest","NAC","1890","Initiation of post-disturbance cohort (planted or natural)","1890","NAC","NAC",0,0,0,TRUE,6.8,8.3,99.05,35.5,571,23,66.03676901,150.6446491,752.9692982,148.3773684,0.080749999,400587.8,6639,935,0.446055556,"temperate","ANPP_2","1970","1966","1971",4.606,0.852040816326531
"36","Les Na Vorskle_8 Site 8","DeAngelis_1981_pofe",250,20313,"Les Na Vorskle_8","Site 8","woody","2TREE","ANPP_1","1970","1966","1971",3.4498,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Russia",50.6,36,200,6,537,"NAC","Europe","Dfb","Temperate continental forest","NAC","1720","Initiation of post-disturbance cohort (planted or natural)","1720","NAC","NAC",0,0,0,TRUE,6.8,8.3,99.05,35.5,571,23,66.03676901,150.6446491,752.9692982,148.3773684,0.080749999,400587.8,6639,935,0.446055556,"temperate","ANPP_2","1970","1966","1971",4.512,0.764583333333334
"37","Linnebjer NI","DeAngelis_1981_pofe",191,20308,"Linnebjer","NI","woody","2TDB","ANPP_1","1965",NA,NA,5.5601,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Sweden",55.73,13.3,60,7,644,"410","Europe","Cfb","Temperate oceanic forest","NAC","1774","Initiation of post-disturbance cohort (planted or natural)","1774","NAC","NAC",0,0,0,TRUE,7.6,6.1,61.74,23,678,22,66.0625731,115.3694737,579.8552632,172.5008772,0.088500001,361972,9018,755,0.282597222,"temperate","ANPP_2","1965",NA,NA,2.8482,1.95214521452145
"38","Lookout Mountains 5 NI","Luyssaert_2007_cbob",111,8474,"Lookout Mountains 5","NI","woody","2TEN","ANPP_1","2001",NA,NA,4.36,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",45.8344,-122.0899,989,NA,NA,"439","North America","Csb","Temperate mountain system","NAC","1890","Initiation of post-disturbance cohort (planted or natural)","1890","NAC","NAC",0,0,0,TRUE,6.2,9.6,53.38,24.9,2637,64,70.00789474,113.9348246,795.5096491,141.1185965,0.068416666,461871.5,25266,987,0.422708333,"temperate","ANPP_2","2001",NA,NA,2,2.18
"39","Lookout Mountains 6 NI","Luyssaert_2007_cbob",85,8486,"Lookout Mountains 6","NI","woody","2TEN","ANPP_1","2001",NA,NA,6.38,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",45.8464,-122.1093,1200,NA,NA,"439","North America","Csb","Temperate mountain system","NAC","1916","Initiation of post-disturbance cohort (planted or natural)","1916","NAC","NAC",0,0,0,TRUE,5.3,9.2,52.59,24.1,2744,63,70.00789474,113.9348246,795.5096491,141.1185965,0.06425,460569.8,26514,985,0.422708333,"temperate","ANPP_2","2001",NA,NA,4.95,1.28888888888889
