"","site_plot","citation.ID","stand.age","measurement.ID","sites.sitename","plot.name","dominant.life.form","dominant.veg","variable.name.x","date.x","start.date.x","end.date.x","ANPP_canopy","min.dbh","required.citations","ForC.investigator","country","lat","lon","masl","mat","map","geographic.area","biogeog","Koeppen","FAO.ecozone","plot.area","year.establishment.oldest.trees","regrowth.type","regrowth.year","distmrs.type","distmrs.year","managed","disturbed","history.no.info","optional","AnnualMeanTemp","MeanDiurnalRange","TempSeasonality","TempRangeAnnual","ANPP_woody_stem","PreSeasonality","CloudCover","AnnualFrostDays","AnnualPET","AnnualWetDays","VapourPressure","SolarRadiation","Aridity","PotentialEvapotranspiration","VapourPressureDeficit","biomes","variable.name.y","date.y","start.date.y","end.date.y","mean.y"
"11","Andrews 10 unmanaged","DeAngelis_1981_pofe",450,18015,"Andrews 10","unmanaged","woody","2TEN","ANPP_foliage","1972","1972","1972",1.034,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.2479,-122.2008,785,NA,NA,"39","North America","Csb","Temperate mountain system","NAC","1449","Initiation of post-disturbance cohort (natural)","1449","NAC","NAC",0,0,0,TRUE,7.8,12.4,58.45,29.1,1897,65,66.29217836,159.637193,806.972807,123.8908772,0.074749999,508203,14223,1213,0.581194444,"temperate","ANPP_woody_stem","1972","1972","1972",1.0998
"12","Andrews 10 unmanaged","DeAngelis_1981_pofe",450,18014,"Andrews 10","unmanaged","woody","2TEN","ANPP_litterfall","1972","1972","1972",2.115,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.2479,-122.2008,785,NA,NA,"39","North America","Csb","Temperate mountain system","NAC","1449","Initiation of post-disturbance cohort (natural)","1449","NAC","NAC",0,0,0,TRUE,7.8,12.4,58.45,29.1,1897,65,66.29217836,159.637193,806.972807,123.8908772,0.074749999,508203,14223,1213,0.581194444,"temperate","ANPP_woody_stem","1972","1972","1972",1.0998
"13","Andrews 10 unmanaged","Luyssaert_2007_cbob",552,361,"Andrews 10","unmanaged","woody","2TEN","ANPP_foliage","2001",NA,NA,1.43,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.2479,-122.2008,785,NA,NA,"39","North America","Csb","Temperate mountain system","NAC","1449","Initiation of post-disturbance cohort (natural)","1449","NAC","NAC",0,0,0,TRUE,7.8,12.4,58.45,29.1,1897,65,66.29217836,159.637193,806.972807,123.8908772,0.074749999,508203,14223,1213,0.581194444,"temperate","ANPP_woody_stem","2001",NA,NA,1.98
"14","Andrews 11 unmanaged","Luyssaert_2007_cbob",795,385,"Andrews 11","unmanaged","woody","2TEN","ANPP_foliage","2001",NA,NA,1.68,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.2334,-122.1731,738,NA,NA,"39","North America","Csb","Temperate mountain system","NAC","1206","Initiation of post-disturbance cohort (natural)","1206","NAC","NAC",0,0,0,TRUE,7.3,12.5,58.75,29.3,1828,65,66.29217836,159.637193,806.972807,123.8908772,0.071666666,509053.6,13873,1208,0.581194444,"temperate","ANPP_woody_stem","2001",NA,NA,3.86
"15","Andrews 12 unmanaged","Luyssaert_2007_cbob",629,409,"Andrews 12","unmanaged","woody","2TEN","ANPP_foliage","2001",NA,NA,1.4,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.2587,-122.1818,812,NA,NA,"39","North America","Csb","Temperate mountain system","NAC","1372","Initiation of post-disturbance cohort (natural)","1372","NAC","NAC",0,0,0,TRUE,7.1,12.3,58.48,29.1,1871,65,66.29217836,159.637193,806.972807,123.8908772,0.071583333,507234.4,14234,1210,0.579680556,"temperate","ANPP_woody_stem","2001",NA,NA,2.13
"16","Baka MNR2","Tan_2011_aosa",999,18281,"Baka","MNR2","woody","2TREE","ANPP_litterfall","2005","2003","2007",3.6848,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","China",22.09,100.77,NA,21.8,1493,"NAC","Asia","Cwa","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,TRUE,22.9,12,32.62,22.6,1255,77,60.90621345,2.054385965,1057.986842,217.2233333,0.196666669,612943.6,10535,1535,0.988930556,"tropical","ANPP_woody_stem","2005","2003","2007",3.29
"17","Banco plateau Mature","Bernhard-Reversat_1978_safo",999,18291,"Banco plateau","Mature","woody","2TEB","ANPP_litterfall","NI","NI","NI",5.593,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Cote D'Ivoire",5.38,-4.03,100,26.2,2095,"60","Africa","Aw","Tropical rainforest","5","NAC","NAC","NAC","NAC","NAC",0,0,1,TRUE,26.1,7.4,10.93,11,1774,85,74.44883041,0,1161.45614,137.3528947,0.290916667,628808.9,11033,1538,0.653819444,"tropical","ANPP_woody_stem","NI","NI","NI",2.0868
"18","Banco Valley Mature","Bernhard-Reversat_1978_safo",999,18292,"Banco Valley","Mature","woody","2TEB","ANPP_litterfall","NI","NI","NI",4.371,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Cote D'Ivoire",5.38,-4.03,50,26.2,NA,"60","Africa","Aw","Tropical rainforest","0.08","NAC","NAC","NAC","NAC","NAC",0,0,1,TRUE,26.1,7.4,10.93,11,1774,85,74.44883041,0,1161.45614,137.3528947,0.290916667,628808.9,11033,1538,0.653819444,"tropical","ANPP_woody_stem","NI","NI","NI",1.692
"19","Bannadpare Mature Rain forest","Rai_1986_esof",999,1136,"Bannadpare","Mature Rain forest","woody","2TEB","ANPP_litterfall","NI","NI","NI",1.9129,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","India",12.08,75.7,200,27,5310,"62","Asia","Am","Tropical rainforest","1","NAC","NAC","NAC","NAC","NAC",0,0,1,TRUE,26.6,7.9,12.52,12.9,4283,122,47.9744883,0,1395.648246,100.6899123,0.257583334,730831.2,25212,1871,0.965847222,"tropical","ANPP_woody_stem","NI","NI","NI",3.008
"20","Barisian Mountains Pinang Pinang","Yoneda_1990_doab",999,18308,"Barisian Mountains","Pinang Pinang","woody","2TEB","ANPP_litterfall","NRA","NRA","NRA",5.0102,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Indonesia",-0.88,100.35,NA,27,4800,"NAC","Asia","Af","Tropical rainforest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,TRUE,27.1,9,2.62,10,3982,25,65.16564327,0,1268.403509,210.1931579,0.284249999,606983.6,26038,1521,0.681680556,"tropical","ANPP_woody_stem","NRA","NRA","NRA",5.123
"21","Battle Ax 6 unmanaged","Luyssaert_2007_cbob",67,1299,"Battle Ax 6","unmanaged","woody","2TEN","ANPP_foliage","2001",NA,NA,1.37,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.8386,-122.2342,987,NA,NA,"66","North America","Csb","Temperate mountain system","NAC","1934","Initiation of post-disturbance cohort (natural)","1934","NAC","NAC",0,0,0,TRUE,6.5,10.1,52.37,24.9,2378,63,68.79429825,160.3940351,747.9245614,133.4398246,0.068500001,489987,20471,1129,0.501847222,"temperate","ANPP_woody_stem","2001",NA,NA,2.04
"22","BDFFP Fazenda Dimona terra firma 2303 BDF-01","Malhi_2004_tacw",999,18365,"BDFFP Fazenda Dimona","terra firma 2303 BDF-01","woody","2TEB","ANPP_litterfall","NI","NI","NI",4.1454,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-2.33333,-60.083333,100,26.75,2305,"68","South America","Af","Tropical rainforest","2","NAC","NAC","NAC","No disturbance","1904",0,0,0,TRUE,27.1,8.6,4.34,10.3,2553,33,81.61425439,0,1151.794737,243.7338596,0.287249996,541454.6,17930,1346,0.713513889,"tropical","ANPP_woody_stem","1991","1985","1997",2.256
"23","Big Butte Springs 6 unmanaged","Luyssaert_2007_cbob",63,1547,"Big Butte Springs 6","unmanaged","woody","2TEN","ANPP_foliage","2001",NA,NA,2.21,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",42.6025,-122.4755,969,NA,NA,"74","North America","Csb","Temperate mountain system","NAC","1938","Initiation of post-disturbance cohort (natural)","1938","NAC","NAC",0,0,0,TRUE,8.6,15.2,60.57,32.5,920,63,62.42207602,197.4075439,876.6719298,112.9767544,0.071916666,547099.4,6807,1388,0.737916667,"temperate","ANPP_woody_stem","2001",NA,NA,1.81
"24","Bionte (Luizao) lowland tropical forest","Malhi_2011_taoe",999,1659,"Bionte (Luizao)","lowland tropical forest","woody","2TEB","ANPP_litterfall","NI","NI","NI",3.7,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-2.63,-60.17,73,27.08,2272,"68","South America","Af","Tropical rainforest","NAC","NAC","NI","NAC","NI","NAC",0,0,1,TRUE,27,8.5,4.35,10.3,2258,35,82.24795322,0,1156.250877,245.6460526,0.28658333,536856.5,17706,1331,0.704916667,"tropical","ANPP_woody_stem","NI","NI","NI",2.6
"25","Bionte 1 terra firma BNT-01","Chambers_2000_dacc",999,18367,"Bionte 1","terra firma BNT-01","woody","2TEB","ANPP_litterfall","1996","1996","1997",3.384,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-2.63,-60.17,73,27.1,2381,"68","South America","Af","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","1904",0,0,0,TRUE,27,8.5,4.35,10.3,2258,35,82.24795322,0,1156.250877,245.6460526,0.28658333,536856.5,17706,1331,0.704916667,"tropical","ANPP_woody_stem","1992","1986","1999",2.444
"26","Blue Mountain 5 unmanaged","Luyssaert_2007_cbob",73,1791,"Blue Mountain 5","unmanaged","woody","2TEN","ANPP_foliage","2001",NA,NA,2.03,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",43.7037,-122.9292,876,NA,NA,"88","North America","Csb","Temperate mountain system","NAC","1928","Initiation of post-disturbance cohort (natural)","1928","NAC","NAC",0,0,0,TRUE,8.2,12.1,52.47,27.1,1719,65,64.75906433,119.8965789,877.5201754,120.1534211,0.077083333,503646.8,16022,1192,0.584805556,"temperate","ANPP_woody_stem","2001",NA,NA,4.07
"27","Blue Mountain 6 unmanaged","Luyssaert_2007_cbob",171,1803,"Blue Mountain 6","unmanaged","woody","2TEN","ANPP_foliage","2001",NA,NA,3.28,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",43.7062,-122.9356,704,NA,NA,"88","North America","Csb","Temperate mountain system","NAC","1830","Initiation of post-disturbance cohort (natural)","1830","NAC","NAC",0,0,0,TRUE,8.9,12.2,52.03,27.1,1615,64,64.75906433,119.8965789,877.5201754,120.1534211,0.081833334,503012.2,14811,1198,0.584805556,"temperate","ANPP_woody_stem","2001",NA,NA,4.08
"28","Blue Mtn. Mor Ridge ""old"" Tropical montane","Tanner_1980_sotb",999,18309,"Blue Mtn. Mor Ridge","""old"" Tropical montane","woody","2TEB","ANPP_litterfall","1976","1974","1978",3.1067,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Jamaica",18.08,-76.65,1615,15.8,2230,"89","North America","Aw","Tropical mountain system","0.08","NAC","NAC","NAC","NAC","NAC",0,0,1,TRUE,19.3,7.3,11.41,11,2421,49,51.69875731,0,1257.257895,132.6744737,0.168833333,676367.7,16951,1369,0.348402778,"tropical","ANPP_woody_stem","1976","1974","1978",0.47
"29","Blue Mtn. Mull Ridge ""old"" Tropical montane","Tanner_1980_sotb",999,18310,"Blue Mtn. Mull Ridge","""old"" Tropical montane","woody","2TEB","ANPP_litterfall","1976","1974","1978",2.585,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Jamaica",18.08,-76.65,1600,15.5,2230,"89","North America","Aw","Tropical mountain system","0.1","NAC","NAC","NAC","NAC","NAC",0,0,1,TRUE,19.3,7.3,11.41,11,2421,49,51.69875731,0,1257.257895,132.6744737,0.168833333,676367.7,16951,1369,0.348402778,"tropical","ANPP_woody_stem","1976","1974","1978",0.47
"30","Blue Mtn.Gap Forest ""old"" Tropical montane","Tanner_1980_sotb",999,18311,"Blue Mtn.Gap Forest","""old"" Tropical montane","woody","2TEB","ANPP_litterfall","1976","1974","1978",3.0409,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Jamaica",18.08,-76.65,1590,15.5,2230,"89","North America","Aw","Tropical mountain system","0.1","NAC","NAC","NAC","NAC","NAC",0,0,1,TRUE,19.3,7.3,11.41,11,2421,49,51.69875731,0,1257.257895,132.6744737,0.168833333,676367.7,16951,1369,0.348402778,"tropical","ANPP_woody_stem","1976","1974","1978",1.645
"31","Blue Mtn.Wet Slope Forest ""old"" Tropical montane","Tanner_1980_sotb",999,18312,"Blue Mtn.Wet Slope Forest","""old"" Tropical montane","woody","2TEB","ANPP_litterfall","1976","1974","1978",2.632,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Jamaica",18.08,-76.65,1570,15.3,2230,"89","North America","Aw","Tropical mountain system","0.1","NAC","NAC","NAC","NAC","NAC",0,0,1,TRUE,19.3,7.3,11.41,11,2421,49,51.69875731,0,1257.257895,132.6744737,0.168833333,676367.7,16951,1369,0.348402778,"tropical","ANPP_woody_stem","1976","1974","1978",0.94
"32","Bonanza 5A unmanaged","Ruess_2003_cfrd",200,1842,"Bonanza 5A","unmanaged","woody","2TEN","ANPP_foliage",NA,"1998","1999",0.11,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",64.75,-148.25,133,-3.5,269,"12","North America","Dfc","Boreal tundra woodland","NAC","NAC","Initiation of post-disturbance cohort (natural)","NAC","Flood","NAC",0,0,0,TRUE,-3.3,11.1,139.76,48.8,302,62,70.29393275,233.8091228,487.0552632,109.4364035,0.048999999,302935.8,4644,633,0.311597222,"boreal","ANPP_woody_stem",NA,"1998","1999",0.28
"33","Bonanza 5C unmanaged","Ruess_2003_cfrd",196,1849,"Bonanza 5C","unmanaged","woody","2TEN","ANPP_foliage",NA,"1998","1999",0.22,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",64.75,-148.25,129,-3.5,269,"12","North America","Dfc","Boreal tundra woodland","NAC","1803","Initiation of post-disturbance cohort (natural)","NAC","Flood","NAC",0,0,0,TRUE,-3.3,11.1,139.76,48.8,302,62,70.29393275,233.8091228,487.0552632,109.4364035,0.048999999,302935.8,4644,633,0.311597222,"boreal","ANPP_woody_stem",NA,"1998","1999",0.56
"34","Bonanza 5D unmanaged","Ruess_2003_cfrd",196,1854,"Bonanza 5D","unmanaged","woody","2TEN","ANPP_foliage",NA,"1998","1999",0.09,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",64.75,-148.25,NA,-3.5,269,"12","North America","Dfc","Boreal tundra woodland","NAC","1803","Initiation of post-disturbance cohort (natural)","NAC","Flood","NAC",0,0,0,TRUE,-3.3,11.1,139.76,48.8,302,62,70.29393275,233.8091228,487.0552632,109.4364035,0.048999999,302935.8,4644,633,0.311597222,"boreal","ANPP_woody_stem",NA,"1998","1999",0.24
"35","BOREAS University of California-1850 UCI-1850","Goulden_2011_pong",104,2010,"BOREAS University of California-1850","UCI-1850","woody","2TEN","ANPP_foliage","2004",NA,NA,0.39,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",55.879,-98.484,NA,NA,NA,"93","North America","Dfc","Boreal coniferous forest","NAC","NAC","Initiation of post-disturbance cohort (natural)","1900","NAC","NAC",0,0,0,TRUE,-3.1,11.3,140.56,52.1,507,49,58.72090643,240.4519298,525.3508772,122.9229825,0.054,426449.3,7275,703,0.257583333,"boreal","ANPP_woody_stem","2004",NA,NA,0.75
"36","BOREAS University of California-1930 UCI-1930","Goulden_2011_pong",74,2026,"BOREAS University of California-1930","UCI-1930","woody","2TEN","ANPP_foliage","2004",NA,NA,0.5779,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",55.906,-98.525,NA,NA,NA,"93","North America","Dfc","Boreal coniferous forest","NAC","NAC","Initiation of post-disturbance cohort (natural)","1930","NAC","NAC",0,0,0,TRUE,-3.1,11.3,140.71,52,508,50,58.84334795,235.8818421,539.8,113.4302632,0.053833333,425992.2,7290,700,0.258527778,"boreal","ANPP_woody_stem","2004",NA,NA,0.9746
"37","Breitenbush Hot Springs 5 unmanaged","Luyssaert_2007_cbob",300,2360,"Breitenbush Hot Springs 5","unmanaged","woody","2TEN","ANPP_foliage","2001",NA,NA,2.08,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.7723,-121.9007,1310,NA,NA,"66","North America","Csb","Temperate mountain system","NAC","1701","Initiation of post-disturbance cohort (natural)","1701","NAC","NAC",0,0,0,TRUE,5.2,10.7,56.61,27.2,1991,63,68.57660819,188.4214035,733.9736842,125.8402632,0.061166666,498816.8,17592,1117,0.4855,"temperate","ANPP_woody_stem","2001",NA,NA,1.23
"38","Cajunuma unmanaged","Moser_2011_eeot",999,2430,"Cajunuma","unmanaged","woody","2TEB","ANPP_foliage",NA,"2003","2004",0.92,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Ecuador",-4.12,-79.18,3060,9.399999619,4500,"114","South America","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,TRUE,14.6,10.3,3.1,11.7,1116,40,73.40665205,19.07850877,1607.175439,171.9761404,0.134333332,513864.5,9708,1158,0.393263889,"tropical","ANPP_woody_stem",NA,"2003","2004",0.07
"39","Canal Flats mesic 1 unmanaged","Comeau_1999_nbfc",70,2516,"Canal Flats mesic 1","unmanaged","woody","2TEN","ANPP_foliage","1984",NA,NA,0.91,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",50.1,-115.25,1340,1.4,634,"129","North America","Dfc","Temperate mountain system","NAC","1914","Initiation of post-disturbance cohort (natural)","NAC","Burned","NAC",0,0,0,TRUE,0.5,12.1,79.86,37,710,18,63.37807018,290.3835965,564.7938596,128.1683333,0.047166667,467212.5,7802,877,0.345041667,"temperate","ANPP_woody_stem","1984",NA,NA,2.02
"40","Canal Flats mesic 2 unmanaged","Comeau_1999_nbfc",78,2533,"Canal Flats mesic 2","unmanaged","woody","2TEN","ANPP_foliage","1984",NA,NA,1.34,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",50.1,-115.25,1340,1.4,634,"129","North America","Dfc","Temperate mountain system","NAC","1906","Initiation of post-disturbance cohort (natural)","NAC","Burned","NAC",0,0,0,TRUE,0.5,12.1,79.86,37,710,18,63.37807018,290.3835965,564.7938596,128.1683333,0.047166667,467212.5,7802,877,0.345041667,"temperate","ANPP_woody_stem","1984",NA,NA,2.02
