"","site_plot","citation.ID","stand.age","measurement.ID","sites.sitename","plot.name","dominant.life.form","dominant.veg","variable.name.x","date.x","start.date.x","end.date.x","ANPP","min.dbh","required.citations","ForC.investigator","country","lat","lon","masl","mat","map","geographic.area","biogeog","Koeppen","FAO.ecozone","plot.area","year.establishment.oldest.trees","regrowth.type","regrowth.year","distmrs.type","distmrs.yr","managed","disturbed","history.no.info","biomes","variable.name.y","date.y","start.date.y","end.date.y","BNPP_root_fine"
"11","Bonanza 5A unmanaged","Ruess_2003_cfrd",200,1844,"Bonanza 5A","unmanaged","woody","2TEN","ANPP",NA,"1998","1999",0.39,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",64.75,-148.25,133,-3.5,269,"12","Nearctic","Dfc","Boreal tundra woodland","NAC","NAC","Initiation of post-disturbance cohort (natural)","NAC","Flood","NAC",0,0,0,"boreal","BNPP_root_fine",NA,"1998","1999",1.86
"12","Bonanza 5C unmanaged","Ruess_2003_cfrd",196,1851,"Bonanza 5C","unmanaged","woody","2TEN","ANPP",NA,"1998","1999",0.78,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",64.75,-148.25,129,-3.5,269,"12","Nearctic","Dfc","Boreal tundra woodland","NAC","1803","Initiation of post-disturbance cohort (natural)","NAC","Flood","NAC",0,0,0,"boreal","BNPP_root_fine",NA,"1998","1999",3.74
"13","Bonanza 5D unmanaged","Ruess_2003_cfrd",196,1856,"Bonanza 5D","unmanaged","woody","2TEN","ANPP",NA,"1998","1999",0.33,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",64.75,-148.25,NA,-3.5,269,"12","Nearctic","Dfc","Boreal tundra woodland","NAC","1803","Initiation of post-disturbance cohort (natural)","NAC","Flood","NAC",0,0,0,"boreal","BNPP_root_fine",NA,"1998","1999",1.26
"14","Bornhoved Alder unmanaged","Kutsch_2001_fmor",60,2140,"Bornhoved Alder","unmanaged","woody","2TDB","ANPP","1992",NA,NA,5.43,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Germany",54.1,10.23,NA,8.9,772,"95","Palearctic","Cfb","Temperate oceanic forest","NAC","1932","Initiation of post-disturbance cohort (natural)","1932","NAC","NAC",0,0,0,"temperate","BNPP_root_fine","1992",NA,NA,1.91
"15","Bornhoved Alder unmanaged","Kutsch_2001_fmor",61,2141,"Bornhoved Alder","unmanaged","woody","2TDB","ANPP","1993",NA,NA,5.33,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Germany",54.1,10.23,NA,8.9,772,"95","Palearctic","Cfb","Temperate oceanic forest","NAC","1932","Initiation of post-disturbance cohort (natural)","1932","NAC","NAC",0,0,0,"temperate","BNPP_root_fine","1993",NA,NA,1.9
"16","Cajunuma unmanaged","Moser_2011_eeot",999,2427,"Cajunuma","unmanaged","woody","2TEB","ANPP",NA,"2003","2004",0.99,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Ecuador",-4.12,-79.18,3060,9.399999619,4500,"114","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","BNPP_root_fine",NA,"2003","2004",4.7
"17","Cajunuma unmanaged","Moser_2011_eeot",999,2428,"Cajunuma","unmanaged","woody","2TEB","ANPP",NA,"2003","2004",1.18,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Ecuador",-4.12,-79.18,3060,9.399999619,4500,"114","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","BNPP_root_fine",NA,"2003","2004",4.7
"18","Canal Flats mesic 1 unmanaged","Comeau_1999_nbfc",70,2517,"Canal Flats mesic 1","unmanaged","woody","2TEN","ANPP","1984",NA,NA,2.93,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",50.1,-115.25,1340,1.4,634,"129","Nearctic","Dfc","Temperate mountain system","NAC","1914","Initiation of post-disturbance cohort (natural)","NAC","Burned","NAC",0,0,0,"temperate","BNPP_root_fine","1984",NA,NA,2.26
"19","Canal Flats mesic 1 unmanaged","Comeau_1999_nbfc",70,2520,"Canal Flats mesic 1","unmanaged","woody","2TEN","ANPP","1984",NA,NA,3.07,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",50.1,-115.25,1340,1.4,634,"129","Nearctic","Dfc","Temperate mountain system","NAC","1914","Initiation of post-disturbance cohort (natural)","NAC","Burned","NAC",0,0,0,"temperate","BNPP_root_fine","1984",NA,NA,2.26
"20","Canal Flats mesic 2 unmanaged","Comeau_1999_nbfc",78,2534,"Canal Flats mesic 2","unmanaged","woody","2TEN","ANPP","1984",NA,NA,3.36,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",50.1,-115.25,1340,1.4,634,"129","Nearctic","Dfc","Temperate mountain system","NAC","1906","Initiation of post-disturbance cohort (natural)","NAC","Burned","NAC",0,0,0,"temperate","BNPP_root_fine","1984",NA,NA,1.78
"21","Canal Flats mesic 2 unmanaged","Comeau_1999_nbfc",78,2537,"Canal Flats mesic 2","unmanaged","woody","2TEN","ANPP","1984",NA,NA,3.55,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",50.1,-115.25,1340,1.4,634,"129","Nearctic","Dfc","Temperate mountain system","NAC","1906","Initiation of post-disturbance cohort (natural)","NAC","Burned","NAC",0,0,0,"temperate","BNPP_root_fine","1984",NA,NA,1.78
"22","Canal Flats xeric 1 unmanaged","Comeau_1999_nbfc",70,2551,"Canal Flats xeric 1","unmanaged","woody","2TEN","ANPP","1984",NA,NA,1.57,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",50.1,-115.25,1340,1.4,634,"129","Nearctic","Dfc","Temperate mountain system","NAC","1914","Initiation of post-disturbance cohort (natural)","NAC","Burned","NAC",0,0,0,"temperate","BNPP_root_fine","1984",NA,NA,1.87
"23","Canal Flats xeric 1 unmanaged","Comeau_1999_nbfc",70,2554,"Canal Flats xeric 1","unmanaged","woody","2TEN","ANPP","1984",NA,NA,1.67,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",50.1,-115.25,1340,1.4,634,"129","Nearctic","Dfc","Temperate mountain system","NAC","1914","Initiation of post-disturbance cohort (natural)","NAC","Burned","NAC",0,0,0,"temperate","BNPP_root_fine","1984",NA,NA,1.87
"24","Canal Flats xeric 2 unmanaged","Comeau_1999_nbfc",70,2568,"Canal Flats xeric 2","unmanaged","woody","2TEN","ANPP","1984",NA,NA,1.48,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",50.1,-115.25,1340,1.4,634,"129","Nearctic","Dfc","Temperate mountain system","NAC","1914","Initiation of post-disturbance cohort (natural)","NAC","Burned","NAC",0,0,0,"temperate","BNPP_root_fine","1984",NA,NA,2.83
"25","Canal Flats xeric 2 unmanaged","Comeau_1999_nbfc",70,2571,"Canal Flats xeric 2","unmanaged","woody","2TEN","ANPP","1984",NA,NA,1.58,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",50.1,-115.25,1340,1.4,634,"129","Nearctic","Dfc","Temperate mountain system","NAC","1914","Initiation of post-disturbance cohort (natural)","NAC","Burned","NAC",0,0,0,"temperate","BNPP_root_fine","1984",NA,NA,2.83
"26","Cascade Head 10 unmanaged","Luyssaert_2007_cbob",185,2669,"Cascade Head 10","unmanaged","woody","2TEN","ANPP","2001",NA,NA,3.58,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",45.0679,-123.8882,255,NA,NA,"137","Nearctic","Csb","Temperate mountain system","NAC","1816","Initiation of post-disturbance cohort (natural)","1816","NAC","NAC",0,0,0,"temperate","BNPP_root_fine","2001",NA,NA,1.55
"27","Cascade Head 10 unmanaged","Luyssaert_2007_cbob",185,2666,"Cascade Head 10","unmanaged","woody","2TEN","ANPP","2001",NA,NA,3.42,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",45.0679,-123.8882,255,NA,NA,"137","Nearctic","Csb","Temperate mountain system","NAC","1816","Initiation of post-disturbance cohort (natural)","1816","NAC","NAC",0,0,0,"temperate","BNPP_root_fine","2001",NA,NA,1.55
"28","Cascade Head 11 unmanaged","Luyssaert_2007_cbob",168,2689,"Cascade Head 11","unmanaged","woody","2TEN","ANPP","2001",NA,NA,2.68,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",45.0819,-123.9038,236,NA,NA,"137","Nearctic","Csb","Temperate mountain system","NAC","1833","Initiation of post-disturbance cohort (natural)","1833","NAC","NAC",0,0,0,"temperate","BNPP_root_fine","2001",NA,NA,1.98
"29","Cascade Head 11 unmanaged","Luyssaert_2007_cbob",168,2692,"Cascade Head 11","unmanaged","woody","2TEN","ANPP","2001",NA,NA,2.93,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",45.0819,-123.9038,236,NA,NA,"137","Nearctic","Csb","Temperate mountain system","NAC","1833","Initiation of post-disturbance cohort (natural)","1833","NAC","NAC",0,0,0,"temperate","BNPP_root_fine","2001",NA,NA,1.98
"30","Cascade Head 12 unmanaged","Luyssaert_2007_cbob",178,2715,"Cascade Head 12","unmanaged","woody","2TEN","ANPP","2001",NA,NA,2.59,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",45.0445,-123.9007,261,NA,NA,"137","Nearctic","Csb","Temperate mountain system","NAC","1823","Initiation of post-disturbance cohort (natural)","1823","NAC","NAC",0,0,0,"temperate","BNPP_root_fine","2001",NA,NA,1.43
"31","Cascade Head 12 unmanaged","Luyssaert_2007_cbob",178,2712,"Cascade Head 12","unmanaged","woody","2TEN","ANPP","2001",NA,NA,2.45,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",45.0445,-123.9007,261,NA,NA,"137","Nearctic","Csb","Temperate mountain system","NAC","1823","Initiation of post-disturbance cohort (natural)","1823","NAC","NAC",0,0,0,"temperate","BNPP_root_fine","2001",NA,NA,1.43
"32","Caxiuana Drought Control CAX-04 largely undisturbed terra firma forest","Aragao_2009_aabn",999,2991,"Caxiuana Drought Control CAX-04","largely undisturbed terra firma forest","woody","2TEB","ANPP",NA,"2004","2006",6.768,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-1.72,-51.46,47,25.8,2311,"140","Neotropics","Af","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","BNPP_root_fine",NA,"2004","2006",3.76
"33","Caxiuana Terra Preta CAX-08 unmanaged Late successional forest","Aragao_2009_aabn",999,3000,"Caxiuana Terra Preta CAX-08","unmanaged Late successional forest","woody","2TEB","ANPP",NA,"2004","2006",8.46,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-1.72,-51.5,NA,26.89999962,2314,"140","Neotropics","Am","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","1960",0,0,0,"tropical","BNPP_root_fine",NA,"2004","2006",7.144
"34","Caxiuana Tower CAX-06 tall primary forest near flux tower site","Aragao_2009_aabn",999,3013,"Caxiuana Tower CAX-06","tall primary forest near flux tower site","woody","2TEB","ANPP",NA,"2004","2006",6.298,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-1.74,-51.46,47,25.8,2311,"140","Neotropics","Af","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","BNPP_root_fine",NA,"2004","2006",3.666
"35","Caxiuana unmanaged","Luyssaert_2007_cbob",999,2964,"Caxiuana","unmanaged","woody","2TEB","ANPP","2005",NA,NA,6.42,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-1.72,-51.45,NA,NA,2500,"140","Neotropics","Af","Tropical rainforest","NAC","NAC","NAC","NAC","No disturbance","1970",0,0,0,"tropical","BNPP_root_fine","2005",NA,NA,2.08
"36","Caxiuana unmanaged","Luyssaert_2007_cbob",999,2961,"Caxiuana","unmanaged","woody","2TEB","ANPP","2005",NA,NA,6.02,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-1.72,-51.45,NA,NA,2500,"140","Neotropics","Af","Tropical rainforest","NAC","NAC","NAC","NAC","No disturbance","1970",0,0,0,"tropical","BNPP_root_fine","2005",NA,NA,2.08
"37","Chamela 2 Middle unmanaged Mature terra firma","Maass_2001_ntfc",999,3162,"Chamela 2 Middle","unmanaged Mature terra firma","woody","2TDB","ANPP",NA,"1982","1995",2.63,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Mexico",19.5,-105.02,130,24.95,743.5,"153","Neotropics","As","Tropical dry forest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","BNPP_root_fine",NA,"1982","1995",2.03
"38","Hainich unmanaged","Bascietto_2003_dots",252,5895,"Hainich","unmanaged","woody","2TDB","ANPP",NA,"2000","2002",3.47,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Germany",51.0792,10.453,440,8.09,794.92,"305","Palearctic","Cfb","Temperate oceanic forest","NAC","1750","Initiation of post-disturbance cohort (natural)","1750","NAC","NAC",0,0,0,"temperate","BNPP_root_fine",NA,"2000","2002",1.45
"39","Hainich unmanaged","Bascietto_2003_dots",252,5893,"Hainich","unmanaged","woody","2TDB","ANPP",NA,"2000","2002",3.47,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Germany",51.0792,10.453,440,8.09,794.92,"305","Palearctic","Cfb","Temperate oceanic forest","NAC","1750","Initiation of post-disturbance cohort (natural)","1750","NAC","NAC",0,0,0,"temperate","BNPP_root_fine",NA,"2000","2002",1.45
"40","Harvard Forest - Little Prospect Hill EMS Tower (HFR1)","Curtis_2002_baeb",88,5957,"Harvard Forest - Little Prospect Hill","EMS Tower (HFR1)","woody","2TDB","ANPP","1999",NA,NA,2.6,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",42.53775556,-72.17147778,340,12.7,1066,"310","Nearctic","Dfb","Temperate mountain system","NAC","1895","Initiation of post-disturbance cohort (natural)","1938","Harvest","1938",0,1,0,"temperate","BNPP_root_fine","1999",NA,NA,2.2
"41","Ilomantsi 1 NI","Gower_2001_nppa",100,6889,"Ilomantsi 1","NI","woody","2TEN","ANPP","2000",NA,NA,1.93,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Finland",62.85,30.97,145,2,662,"325","Palearctic","Dfc","Boreal coniferous forest","NAC","1900","Initiation of post-disturbance cohort (planted or natural)","1900","NAC","NAC",0,0,0,"boreal","BNPP_root_fine","2000",NA,NA,1.29
"42","Ilomantsi 3 NI","Gower_2001_nppa",50,6909,"Ilomantsi 3","NI","woody","2TEN","ANPP","2000",NA,NA,1.6,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Finland",62.85,30.97,145,2,662,"325","Palearctic","Dfc","Boreal coniferous forest","NAC","1950","Initiation of post-disturbance cohort (planted or natural)","1950","NAC","NAC",0,0,0,"boreal","BNPP_root_fine","2000",NA,NA,0.4
"43","Ilomantsi 4 NI","Gower_2001_nppa",50,6919,"Ilomantsi 4","NI","woody","2TDB","ANPP","2000",NA,NA,1.69,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Finland",62.85,30.97,145,2,662,"325","Palearctic","Dfc","Boreal coniferous forest","NAC","1950","Initiation of post-disturbance cohort (planted or natural)","1950","NAC","NAC",0,0,0,"boreal","BNPP_root_fine","2000",NA,NA,0.35
"44","Jezeri PO","Schulze_2000_tcan",79,7236,"Jezeri","PO","woody","2TDB","ANPP","1995",NA,NA,3.79,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Czech Republic",50.55,13.46,750,5.9,935,"348","Palearctic","Cfb","Temperate mountain system","NAC","1916","Planted","NAC","NAC","NAC",0,0,0,"temperate","BNPP_root_fine","1995",NA,NA,1.39
"45","Jezeri PO","Schulze_2000_tcan",79,7239,"Jezeri","PO","woody","2TDB","ANPP","1995",NA,NA,5.99,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Czech Republic",50.55,13.46,750,5.9,935,"348","Palearctic","Cfb","Temperate mountain system","NAC","1916","Planted","NAC","NAC","NAC",0,0,0,"temperate","BNPP_root_fine","1995",NA,NA,1.39
"46","Metolius 10 unmanaged","Luyssaert_2007_cbob",190,9173,"Metolius 10","unmanaged","woody","2TEN","ANPP","2001",NA,NA,2.42,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.4982,-121.6249,895,NA,NA,"366","Nearctic","Csb","Temperate mountain system","NAC","1811","Initiation of post-disturbance cohort (natural)","1811","NAC","NAC",0,0,0,"temperate","BNPP_root_fine","2001",NA,NA,1.15
"47","Metolius 10 unmanaged","Luyssaert_2007_cbob",190,9170,"Metolius 10","unmanaged","woody","2TEN","ANPP","2001",NA,NA,2.14,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.4982,-121.6249,895,NA,NA,"366","Nearctic","Csb","Temperate mountain system","NAC","1811","Initiation of post-disturbance cohort (natural)","1811","NAC","NAC",0,0,0,"temperate","BNPP_root_fine","2001",NA,NA,1.15
"48","Metolius 11 unmanaged","Luyssaert_2007_cbob",316,9196,"Metolius 11","unmanaged","woody","2TEN","ANPP","2001",NA,NA,1.02,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.4222,-121.6066,1129,NA,NA,"366","Nearctic","Csb","Temperate mountain system","NAC","1685","Initiation of post-disturbance cohort (natural)","1685","NAC","NAC",0,0,0,"temperate","BNPP_root_fine","2001",NA,NA,0.96
"49","Metolius 11 unmanaged","Luyssaert_2007_cbob",316,9193,"Metolius 11","unmanaged","woody","2TEN","ANPP","2001",NA,NA,0.92,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.4222,-121.6066,1129,NA,NA,"366","Nearctic","Csb","Temperate mountain system","NAC","1685","Initiation of post-disturbance cohort (natural)","1685","NAC","NAC",0,0,0,"temperate","BNPP_root_fine","2001",NA,NA,0.96
"50","Metolius Old Pine mosaic of old growth, young trees, and mixed age stands natural regeneration after fire","Luyssaert_2007_cbob",251,9461,"Metolius Old Pine","mosaic of old growth, young trees, and mixed age stands natural regeneration after fire","woody","2TEN","ANPP","2001",NA,NA,1.87,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.498889,-121.623611,915,8.15,482.13,"366","Nearctic","Csb","Temperate mountain system","NAC","1748","Initiation of post-disturbance cohort (natural)","1748","Burned","1748",0,1,0,"temperate","BNPP_root_fine","2001",NA,NA,1.44
"51","Metolius Old Pine mosaic of old growth, young trees, and mixed age stands natural regeneration after fire","Luyssaert_2007_cbob",251,9458,"Metolius Old Pine","mosaic of old growth, young trees, and mixed age stands natural regeneration after fire","woody","2TEN","ANPP","2001",NA,NA,1.71,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.498889,-121.623611,915,8.15,482.13,"366","Nearctic","Csb","Temperate mountain system","NAC","1748","Initiation of post-disturbance cohort (natural)","1748","Burned","1748",0,1,0,"temperate","BNPP_root_fine","2001",NA,NA,1.44
