"","site_plot","citation.ID","stand.age","measurement.ID","sites.sitename","plot.name","dominant.life.form","dominant.veg","variable.name.x","date.x","start.date.x","end.date.x","mean.x","min.dbh","required.citations","ForC.investigator","country","lat","lon","masl","mat","map","geographic.area","biogeog","Koeppen","FAO.ecozone","plot.area","year.establishment.oldest.trees","regrowth.type","regrowth.year","distmrs.type","distmrs.year","managed","disturbed","history.no.info","optional","AnnualMeanTemp","MeanDiurnalRange","TempSeasonality","TempRangeAnnual","AnnualPre","PreSeasonality","CloudCover","AnnualFrostDays","AnnualPET","AnnualWetDays","VapourPressure","SolarRadiation","Aridity","PotentialEvapotranspiration","VapourPressureDeficit","biomes","variable.name.y","date.y","start.date.y","end.date.y","mean.y","ratio"
"14","Blue Mountain 6 unmanaged","Luyssaert_2007_cbob",171,1802,"Blue Mountain 6","unmanaged","woody","2TEN","ANPP_woody_stem","2001",NA,NA,4.08,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",43.7062,-122.9356,704,NA,NA,"88","North America","Csb","Temperate mountain system","NAC","1830","Initiation of post-disturbance cohort (natural)","1830","NAC","NAC",0,0,0,TRUE,8.9,12.2,52.03,27.1,1615,64,64.75906433,119.8965789,877.5201754,120.1534211,0.081833334,503012.2,14811,1198,0.584805556,"temperate","ANPP_woody_branch","2001",NA,NA,0.23,17.7391304347826
"15","Breitenbush Hot Springs 5 unmanaged","Luyssaert_2007_cbob",300,2359,"Breitenbush Hot Springs 5","unmanaged","woody","2TEN","ANPP_woody_stem","2001",NA,NA,1.23,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.7723,-121.9007,1310,NA,NA,"66","North America","Csb","Temperate mountain system","NAC","1701","Initiation of post-disturbance cohort (natural)","1701","NAC","NAC",0,0,0,TRUE,5.2,10.7,56.61,27.2,1991,63,68.57660819,188.4214035,733.9736842,125.8402632,0.061166666,498816.8,17592,1117,0.4855,"temperate","ANPP_woody_branch","2001",NA,NA,0.2,6.15
"16","Breitenbush Hot Springs 6 unmanaged","Luyssaert_2007_cbob",282,2371,"Breitenbush Hot Springs 6","unmanaged","woody","2TEN","ANPP_woody_stem","2001",NA,NA,3.06,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.7855,-121.8935,1383,NA,NA,"66","North America","Csb","Temperate mountain system","NAC","1719","Initiation of post-disturbance cohort (natural)","1719","NAC","NAC",0,0,0,TRUE,5.4,10.8,56.63,27.2,1967,63,68.57660819,188.4214035,733.9736842,125.8402632,0.061166666,498739.2,17709,1105,0.4855,"temperate","ANPP_woody_branch","2001",NA,NA,0.42,7.28571428571429
"17","Cajunuma unmanaged","Moser_2011_eeot",999,2432,"Cajunuma","unmanaged","woody","2TEB","ANPP_woody_stem",NA,"2003","2004",0.07,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Ecuador",-4.12,-79.18,3060,9.399999619,4500,"114","South America","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,TRUE,14.6,10.3,3.1,11.7,1116,40,73.40665205,19.07850877,1607.175439,171.9761404,0.134333332,513864.5,9708,1158,0.393263889,"tropical","ANPP_woody_branch",NA,"2003","2004",0.19,0.368421052631579
"18","Canal Flats mesic 1 unmanaged","Comeau_1999_nbfc",70,2515,"Canal Flats mesic 1","unmanaged","woody","2TEN","ANPP_woody_stem","1984",NA,NA,2.02,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",50.1,-115.25,1340,1.4,634,"129","North America","Dfc","Temperate mountain system","NAC","1914","Initiation of post-disturbance cohort (natural)","NAC","Burned","NAC",0,0,0,TRUE,0.5,12.1,79.86,37,710,18,63.37807018,290.3835965,564.7938596,128.1683333,0.047166667,467212.5,7802,877,0.345041667,"temperate","ANPP_woody_branch","1984",NA,NA,0.14,14.4285714285714
"19","Canal Flats mesic 2 unmanaged","Comeau_1999_nbfc",78,2532,"Canal Flats mesic 2","unmanaged","woody","2TEN","ANPP_woody_stem","1984",NA,NA,2.02,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",50.1,-115.25,1340,1.4,634,"129","North America","Dfc","Temperate mountain system","NAC","1906","Initiation of post-disturbance cohort (natural)","NAC","Burned","NAC",0,0,0,TRUE,0.5,12.1,79.86,37,710,18,63.37807018,290.3835965,564.7938596,128.1683333,0.047166667,467212.5,7802,877,0.345041667,"temperate","ANPP_woody_branch","1984",NA,NA,0.19,10.6315789473684
"20","Canal Flats xeric 1 unmanaged","Comeau_1999_nbfc",70,2549,"Canal Flats xeric 1","unmanaged","woody","2TEN","ANPP_woody_stem","1984",NA,NA,1,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",50.1,-115.25,1340,1.4,634,"129","North America","Dfc","Temperate mountain system","NAC","1914","Initiation of post-disturbance cohort (natural)","NAC","Burned","NAC",0,0,0,TRUE,0.5,12.1,79.86,37,710,18,63.37807018,290.3835965,564.7938596,128.1683333,0.047166667,467212.5,7802,877,0.345041667,"temperate","ANPP_woody_branch","1984",NA,NA,0.1,10
"21","Canal Flats xeric 2 unmanaged","Comeau_1999_nbfc",70,2566,"Canal Flats xeric 2","unmanaged","woody","2TEN","ANPP_woody_stem","1984",NA,NA,0.91,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",50.1,-115.25,1340,1.4,634,"129","North America","Dfc","Temperate mountain system","NAC","1914","Initiation of post-disturbance cohort (natural)","NAC","Burned","NAC",0,0,0,TRUE,0.5,12.1,79.86,37,710,18,63.37807018,290.3835965,564.7938596,128.1683333,0.047166667,467212.5,7802,877,0.345041667,"temperate","ANPP_woody_branch","1984",NA,NA,0.1,9.1
"22","Cascade Head 10 unmanaged","Luyssaert_2007_cbob",185,2664,"Cascade Head 10","unmanaged","woody","2TEN","ANPP_woody_stem","2001",NA,NA,1.83,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",45.0679,-123.8882,255,NA,NA,"137","North America","Csb","Temperate mountain system","NAC","1816","Initiation of post-disturbance cohort (natural)","1816","NAC","NAC",0,0,0,TRUE,9.2,10,37.66,20.4,2747,66,69.49524854,81.03947368,696.477193,169.9778947,0.096083333,452242.3,31760,869,0.322152778,"temperate","ANPP_woody_branch","2001",NA,NA,0.16,11.4375
"23","Cascade Head 11 unmanaged","Luyssaert_2007_cbob",168,2687,"Cascade Head 11","unmanaged","woody","2TEN","ANPP_woody_stem","2001",NA,NA,1.47,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",45.0819,-123.9038,236,NA,NA,"137","North America","Csb","Temperate mountain system","NAC","1833","Initiation of post-disturbance cohort (natural)","1833","NAC","NAC",0,0,0,TRUE,9.5,9.8,36.64,19.9,2649,65,69.49524854,81.03947368,696.477193,169.9778947,0.098583333,452063.3,30721,865,0.322152778,"temperate","ANPP_woody_branch","2001",NA,NA,0.24,6.125
"24","Cascade Head 12 unmanaged","Luyssaert_2007_cbob",178,2710,"Cascade Head 12","unmanaged","woody","2TEN","ANPP_woody_stem","2001",NA,NA,1.17,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",45.0445,-123.9007,261,NA,NA,"137","North America","Csb","Temperate mountain system","NAC","1823","Initiation of post-disturbance cohort (natural)","1823","NAC","NAC",0,0,0,TRUE,9.5,9.8,37.13,20,2662,65,69.49524854,81.03947368,696.477193,169.9778947,0.09825,453772.4,29886,895,0.322152778,"temperate","ANPP_woody_branch","2001",NA,NA,0.14,8.35714285714286
"25","Caxiuana Drought Control CAX-04 largely undisturbed terra firma forest","da Costa_2014_eran",999,2982,"Caxiuana Drought Control CAX-04","largely undisturbed terra firma forest","woody","2TEB","ANPP_woody_stem",NA,"2006","2011",2.55,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-1.72,-51.46,47,25.8,2311,"140","South America","Af","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","NI",0,0,0,TRUE,26.8,9.7,4.15,11.2,2204,51,78.23530702,0,1111.834211,257.3783333,0.2875,565969.4,15734,1409,0.583708333,"tropical","ANPP_woody_branch",NA,"2009","2011",1.2,2.125
"26","Caxiuana unmanaged","Luyssaert_2007_cbob",999,2959,"Caxiuana","unmanaged","woody","2TEB","ANPP_woody_stem","2005",NA,NA,2.32,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-1.72,-51.45,NA,NA,2500,"140","South America","Af","Tropical rainforest","NAC","NAC","NAC","NAC","No disturbance","1970",0,0,0,TRUE,26.7,9.8,4.17,11.3,2205,51,78.23530702,0,1111.834211,257.3783333,0.2875,566913.3,15655,1412,0.588013889,"tropical","ANPP_woody_branch","2005",NA,NA,0.4,5.8
"27","Cove Forest Long Branch 1 Long Branch 1","Clebsch_1989_ssgd",200,18693,"Cove Forest Long Branch 1","Long Branch 1","woody","2TDB","ANPP_woody_stem","1988","1988","1988",1.269,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",35.687,-83.417,920,NA,NA,"NAC","North America","Cfa","Temperate mountain system","NAC","1780","Initiation of post-disturbance cohort (planted or natural)","1780","NAC","NAC",0,0,0,TRUE,10.4,13,71.35,32.4,1552,11,61.37163743,109.565,947.4622807,124.7280702,0.106250001,537173,13451,1156,0.447194444,"temperate","ANPP_woody_branch","1988","1988","1988",0.376,3.375
"28","Cove Forest Long Branch 2 Long Branch 2","Clebsch_1989_ssgd",200,18698,"Cove Forest Long Branch 2","Long Branch 2","woody","2TDB","ANPP_woody_stem","1988","1988","1988",1.175,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",35.686,-83.42,950,NA,NA,"NAC","North America","Cfa","Temperate mountain system","NAC","1780","Initiation of post-disturbance cohort (planted or natural)","1780","NAC","NAC",0,0,0,TRUE,10.4,13,71.35,32.4,1552,11,61.37163743,109.565,947.4622807,124.7280702,0.106250001,537173,13451,1156,0.447194444,"temperate","ANPP_woody_branch","1988","1988","1988",0.329,3.57142857142857
"29","Cove Forest Long Branch Young 1 Young","Clebsch_1989_ssgd",63,18729,"Cove Forest Long Branch Young 1","Young","woody","2TDB","ANPP_woody_stem","1983","1983","1983",3.619,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",35.687,-83.417,920,NA,NA,"NAC","North America","Cfa","Temperate mountain system","NAC","1920","Initiation of post-disturbance cohort (planted or natural)","1920","NAC","NAC",0,0,0,TRUE,10.4,13,71.35,32.4,1552,11,61.37163743,109.565,947.4622807,124.7280702,0.106250001,537173,13451,1156,0.447194444,"temperate","ANPP_woody_branch","1983","1983","1983",0.517,7
"30","Cove Forest Porters Creek Porters Creek","Clebsch_1989_ssgd",200,18703,"Cove Forest Porters Creek","Porters Creek","woody","2TDB","ANPP_woody_stem","1989","1989","1989",1.692,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",35.681,-83.399,720,NA,NA,"NAC","North America","Cfa","Temperate mountain system","NAC","1780","Initiation of post-disturbance cohort (planted or natural)","1780","NAC","NAC",0,0,0,TRUE,11.2,13.6,71.4,33,1449,12,61.37163743,109.565,947.4622807,124.7280702,0.111749999,539090.2,12025,1202,0.511472222,"temperate","ANPP_woody_branch","1989","1989","1989",0.47,3.6
"31","Cove Forest Roaring Fork 1 Roaring Fork 1","Clebsch_1989_ssgd",200,18708,"Cove Forest Roaring Fork 1","Roaring Fork 1","woody","2TDB","ANPP_woody_stem","1990","1990","1990",1.692,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",35.679,-83.464,990,NA,NA,"NAC","North America","Cfa","Temperate mountain system","NAC","1780","Initiation of post-disturbance cohort (planted or natural)","1780","NAC","NAC",0,0,0,TRUE,10.5,13.1,71.34,32.5,1546,11,61.37163743,109.565,947.4622807,124.7280702,0.10725,537055.5,13312,1162,0.514583333,"temperate","ANPP_woody_branch","1990","1990","1990",0.517,3.27272727272727
"32","Cove Forest Roaring Fork 2 Roaring Fork 2","Clebsch_1989_ssgd",200,18713,"Cove Forest Roaring Fork 2","Roaring Fork 2","woody","2TDB","ANPP_woody_stem","1990","1990","1990",1.786,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",35.681,-83.462,960,NA,NA,"NAC","North America","Cfa","Temperate mountain system","NAC","1780","Initiation of post-disturbance cohort (planted or natural)","1780","NAC","NAC",0,0,0,TRUE,10.5,13.1,71.34,32.5,1546,11,61.37163743,109.565,947.4622807,124.7280702,0.10725,537055.5,13312,1162,0.514583333,"temperate","ANPP_woody_branch","1990","1990","1990",0.705,2.53333333333333
"33","Cove Forest Roaring Fork 3 Roaring Fork 3","Clebsch_1989_ssgd",200,18718,"Cove Forest Roaring Fork 3","Roaring Fork 3","woody","2TDB","ANPP_woody_stem","1990","1990","1990",2.209,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",35.676,-83.452,1140,NA,NA,"NAC","North America","Cfa","Temperate mountain system","NAC","1780","Initiation of post-disturbance cohort (planted or natural)","1780","NAC","NAC",0,0,0,TRUE,10.3,13,71.3,32.4,1566,11,61.37163743,109.565,947.4622807,124.7280702,0.106166668,536191.3,13608,1154,0.447194444,"temperate","ANPP_woody_branch","1990","1990","1990",0.658,3.35714285714286
"34","Emigrant Butte 4 unmanaged","Luyssaert_2007_cbob",442,4860,"Emigrant Butte 4","unmanaged","woody","2TEN","ANPP_woody_stem","2001",NA,NA,2.02,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",43.4991,-122.1899,1487,NA,NA,"240","North America","Csb","Temperate mountain system","NAC","1559","Initiation of post-disturbance cohort (natural)","1559","NAC","NAC",0,0,0,TRUE,5.1,13.7,60.21,31.3,1318,67,64.13326023,201.5639474,822.6192982,117.5963158,0.058,527075.4,12351,1089,0.491236111,"temperate","ANPP_woody_branch","2001",NA,NA,0.3,6.73333333333333
"35","Emigrant Butte 6 unmanaged","Luyssaert_2007_cbob",118,4881,"Emigrant Butte 6","unmanaged","woody","2TEN","ANPP_woody_stem","2001",NA,NA,2.79,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",43.4949,-122.1896,1439,NA,NA,"240","North America","Csb","Temperate mountain system","NAC","1883","Initiation of post-disturbance cohort (natural)","1883","NAC","NAC",0,0,0,TRUE,5.1,13.7,60.21,31.3,1318,67,64.13326023,201.5639474,822.6192982,117.5963158,0.058,527075.4,12351,1089,0.491236111,"temperate","ANPP_woody_branch","2001",NA,NA,0.23,12.1304347826087
"36","Fontainebleu Fontainebleu","DeAngelis_1981_pofe",999,20321,"Fontainebleu","Fontainebleu","woody","2TDB","ANPP_woody_stem","1970","1968","1974",2.2372,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","France",48.4764,2.7801,135,10.15,674,"NAC","Europe","Cfb","Temperate oceanic forest","NAC","NAC","Initiation of post-disturbance cohort (planted or natural)","NAC","NAC","NAC",0,0,0,TRUE,10.9,8.9,57.26,24.4,647,9,67.4629386,63.4022807,789.2105263,166.4426316,0.104583334,419736.9,6808,929,0.397305556,"temperate","ANPP_woody_branch","1970","1968","1974",0.4982,4.49056603773585
"37","Grants Pass 6 unmanaged","Luyssaert_2007_cbob",307,5669,"Grants Pass 6","unmanaged","woody","2TEN","ANPP_woody_stem","2001",NA,NA,2.85,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",42.4725,-123.2665,954,NA,NA,"291","North America","Csb","Temperate mountain system","NAC","1694","Initiation of post-disturbance cohort (natural)","1694","NAC","NAC",0,0,0,TRUE,9,14.4,56.17,30.2,860,69,62.14057018,132.0842982,947.277193,110.1292105,0.077583333,528552.7,8536,1372,0.800888889,"temperate","ANPP_woody_branch","2001",NA,NA,0.2,14.25
"38","Jezeri PO","Schulze_2000_tcan",79,7234,"Jezeri","PO","woody","2TDB","ANPP_woody_stem","1995",NA,NA,2.02,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Czech Republic",50.55,13.46,750,5.9,935,"348","Europe","Cfb","Temperate mountain system","NAC","1916","Planted","NAC","NAC","NAC",0,0,0,TRUE,5.1,6.8,65.95,24.8,787,23,74.1869883,131.0028947,667.0745614,178.0578947,0.079583333,372622,12382,724,0.254458333,"temperate","ANPP_woody_branch","1995",NA,NA,2.2,0.918181818181818
