,site,census_interval,ANPP_total_1cm,min.dbh,LAT,LON,MASL,MAT,MAP,stand.age,min.dbh,citation.ID,required.citations,ForC.investigator,country,lat,lon,masl,mat,map,geographic.area,biogeog,Koeppen,FAO.ecozone,plot.area,year.establishment.oldest.trees,regrowth.type,regrowth.year,distmrs.type,distmrs.yr,managed,disturbed,history.no.info
11,luquillo,census_2_3,1.510526022,10,18.3262,-65.816,380.5,22.8,3548,,1,Meakem_2017_rots,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Panama,9.2815,-79.974,NA,25.6,3197,7,Neotropics,Am,Tropical rainforest,4.96,NAC,NAC,NAC,No severe disturbance,1800,0,1,0
12,luquillo,census_3_4,2.159156643,10,18.3262,-65.816,380.5,22.8,3548,,1,Gonzalez-Akre_2016_potm,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",USA,38.8935,-78.14538889,302,12.9,1001,709,Nearctic,Cfa,Temperate mountain system,25.6,1900,NAC,NAC,No severe disturbance,1973,0,1,0
13,luquillo,census_4_5,2.10459585,10,18.3262,-65.816,380.5,22.8,3548,,1,Chave_2008_aepa,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Dem. Rep. of Congo,1.5614,28.52,NA,24.3,1682,NAC,Afrotropic,Af,Tropical rainforest,20,NAC,NAC,NAC,NAC,NAC,0,0,0
14,palamanui,census_1_2,0.136254216,10,19.7394,-155.994,240,20,835,,1,Chave_2008_aepa,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Dem. Rep. of Congo,1.31,28.6455,NA,24.3,1682,NAC,Afrotropic,Af,Tropical rainforest,20,NAC,NAC,NAC,NAC,NAC,0,0,0
15,sherman,census_1_2,1.809698571,10,9.2815,-79.974,NA,25.6,3197,999,1,Chave_2008_aepa,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Malaysia,4.1865,114.017,174,26.6,2664,NAC,Indo-Malay,Af,Tropical rainforest,52,NAC,NAC,NAC,No disturbance,NI,0,0,0
16,sherman,census_2_3,2.831504047,10,9.2815,-79.974,NA,25.6,3197,999,1,Chave_2008_aepa,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Philippines,17.0402,122.388,97,26.1,3380,NAC,Indo-Malay,Af,Tropical rainforest,16,NI,NAC,NAC,NAC,NAC,0,0,0
17,sherman,census_3_4,2.147401832,10,9.2815,-79.974,NA,25.6,3197,999,1,Chave_2008_aepa,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Malaysia,2.982,102.313,80,27.9,1788,NAC,Indo-Malay,Af,Tropical rainforest,50,NAC,NAC,NAC,NAC,NAC,0,0,0
18,scbi,census_1_2,2.811518351,10,38.8935,-78.14538889,302,12.9,1001,,1,Chave_2008_aepa,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Sri Lanka,6.4023,80.4023,499.5,22.5,5016,NAC,Indo-Malay,Af,Tropical rainforest,25,NAC,NAC,NAC,No disturbance,NI,0,1,0
19,serc,census_1_2,1.996095119,10,38.8891,-76.5594,8,13.2,1068,,1,Chave_2008_aepa,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Ecuador,-0.6859,-76.397,230,28.3,3081,NAC,Neotropic,Af,Tropical rainforest,24,NAC,NAC,NAC,No disturbance,NI,0,0,0
20,wabikon,census_1_2,2.896398723,10,45.5546,-88.7945,NA,4.2,805,,NAC,Chave_2008_aepa,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Colombia,1.1558,-77.9935,1818,19,4087,NAC,Neotropic,Cfb,Tropical mountain system,25,NAC,NAC,NAC,NAC,NAC,0,0,0
21,wytham,census_1_2,1.328096846,10,51.7743,-1.3379,133.5,10,717,,NAC,Chave_2003_satv,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Panama,9.1543,-79.8461,140,27.4,2167,7,Neotropics,Am,Tropical moist forest,50,NAC,NAC,NAC,No severe disturbance,1500,0,0,0
22,bci,NA,5.55,NA,9.1543,-79.8461,140,27.4,2167,,NAC,Chave_2008_aepa,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Ecuador,-0.6859,-76.397,230,28.3,3081,NAC,Neotropic,Af,Tropical rainforest,25,NAC,NAC,NAC,No major disturbance,NI,0,1,0
23,bci,NA,4.46,NA,9.1543,-79.8461,140,27.4,2167,,NAC,Chave_2008_aepa,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Thailand,15.6324,99.217,593.5,23.5,1476,NAC,Indo-Malay,Aw,Tropical moist forest,50,NAC,NAC,NAC,No disturbance,NI,0,1,0
24,bci,NA,2.76,NA,9.1543,-79.8461,140,27.4,2167,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,bci,NA,2.85,NA,9.1543,-79.8461,140,27.4,2167,,,,,,,,,,,,,,,,,,,,,,,,
26,bci,NA,2.75,NA,9.1543,-79.8461,140,27.4,2167,,,,,,,,,,,,,,,,,,,,,,,,
27,bci,NA,2.77,NA,9.1543,-79.8461,140,27.4,2167,,,,,,,,,,,,,,,,,,,,,,,,
28,cocoli,NA,3.07,NA,8.9877,-79.6166,NA,26,1808,,,,,,,,,,,,,,,,,,,,,,,,
29,cocoli,NA,2.28,NA,8.9877,-79.6166,NA,26,1808,,,,,,,,,,,,,,,,,,,,,,,,
30,sherman,NA,3.44,NA,9.2815,-79.974,NA,25.6,3197,,,,,,,,,,,,,,,,,,,,,,,,
31,sherman,NA,4.47,NA,9.2815,-79.974,NA,25.6,3197,,,,,,,,,,,,,,,,,,,,,,,,
32,sherman,NA,2.67,NA,9.2815,-79.974,NA,25.6,3197,,,,,,,,,,,,,,,,,,,,,,,,
33,scbi,NA,3.0362,NA,38.8935,-78.14538889,302,12.9,1001,,,,,,,,,,,,,,,,,,,,,,,,
34,edoro,NA,3.13255,NA,1.5614,28.52,NA,24.3,1682,,,,,,,,,,,,,,,,,,,,,,,,
35,lenda,NA,2.72412,NA,1.31,28.6455,NA,24.3,1682,,,,,,,,,,,,,,,,,,,,,,,,
36,lambir,NA,3.37037,NA,4.1865,114.017,174,26.6,2664,,,,,,,,,,,,,,,,,,,,,,,,
37,palanan,NA,2.30394,NA,17.0402,122.388,97,26.1,3380,,,,,,,,,,,,,,,,,,,,,,,,
38,pasoh,NA,3.28248,NA,2.982,102.313,80,27.9,1788,,,,,,,,,,,,,,,,,,,,,,,,
39,sinharaja,NA,3.49116,NA,6.4023,80.4023,499.5,22.5,5016,,,,,,,,,,,,,,,,,,,,,,,,
40,yasuni,NA,3.2007,NA,-0.6859,-76.397,230,28.3,3081,,,,,,,,,,,,,,,,,,,,,,,,
41,la planada,NA,2.2325,NA,1.1558,-77.9935,1818,19,4087,,,,,,,,,,,,,,,,,,,,,,,,
42,bci,NA,3.196,NA,9.1543,-79.8461,140,27.4,2167,,,,,,,,,,,,,,,,,,,,,,,,
43,yasuni,NA,3.1772,NA,-0.6859,-76.397,230,28.3,3081,,,,,,,,,,,,,,,,,,,,,,,,
44,huai kha,NA,1.6732,NA,15.6324,99.217,593.5,23.5,1476,,,,,,,,,,,,,,,,,,,,,,,,
