"response","fixed","random","Age.filter","best.model","significant","p.value","sample.size","Rsq.R2m","Rsq.R2c","delta.aic","slope","lowerCI","upperCI"
"NPP","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,8.559e-09,69,0.728,0.9802,1.927,20.23,15.9048881276444,24.5643935681541
"BNPP_root","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.623e-06,81,0.4694,0.9831,1.065,9.44,6.27244718828022,12.610296327419
"BNPP_root_fine","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.09478,68,0.1973,0.8788,2.463,3.66,0.210640902775264,7.10667863557902
"GPP","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,2.439e-13,209,0.7446,0.997,5.001,-103.9,-125.021189632892,-82.7836293190471
"NPP","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,9.68e-09,69,0.7037,0.9835,3.959,-20.31,-25.5851782659465,-15.0322789102281
"BNPP_root","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.469e-07,81,0.5363,0.9847,3.658,-10.31,-13.6120117086376,-7.01223423106157
"BNPP_root_fine","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.1016,68,0.1847,0.8733,2.335,-3.51,-6.87341515287453,-0.151643727794415
"GPP","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.135e-12,209,0.7211,0.9971,2.973,-108.29,-131.208970650526,-85.3695525358411
"NPP","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,3.911e-08,69,0.687,0.9839,3.634,-19.54,-24.9568557043645,-14.1153656106952
"BNPP_root","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,2.221e-07,81,0.5092,0.9855,5.44,-9.85,-13.2361694062958,-6.46084312589245
"BNPP_root_fine","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.linear",FALSE,0.07912,68,0.1801,0.8902,2.379,-3.71,-7.05203794317845,-0.3604491513729
"GPP","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,4.922e-07,209,0.4394,0.9975,1.274,77.48,47.9810214855147,106.98825534536
"NPP","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,4.807e-05,69,0.5123,0.978,1.371,16.78,11.1870015657269,22.3642941997528
"BNPP_root","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.00286,81,0.2537,0.9831,1.68,5.69,2.22940386736797,9.14154662333114
"BNPP_root_fine","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.5041,68,0.07967,0.8843,0.5918,2.13,-1.99852024626699,6.26633843257717
"GPP","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,3.437e-08,209,0.5368,0.9972,1.145,-107.04,-138.812060335711,-75.2680996554744
"NPP","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.826e-08,69,0.6988,0.9831,2.412,-21.01,-26.0013943028483,-16.0231609581927
"BNPP_root","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,9.279e-06,81,0.4278,0.9837,1.25,-9.36,-12.7575895777177,-5.97019988536227
"BNPP_root_fine","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100","mod.linear",FALSE,0.05593,68,0.2256,0.8951,2.362,-4.16,-7.65120521242068,-0.666802490618315
"GPP","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.003231,209,0.1662,0.9977,0.198,29.35,-1.92841859620139,60.6280709044158
"NPP","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.04178,69,0.1763,0.9866,0.8613,10.18,1.37768371683002,18.9887768037134
"BNPP_root","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.poly",FALSE,0.06299,81,0.151,0.9847,3.926,1.98,-2.46903173826266,6.43534103999027
"BNPP_root_fine","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.7875,68,0.02739,0.8819,2.489,1.02,-3.06260819612212,5.09461016491797
"GPP","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,7.081e-13,209,0.7274,0.997,1.288,109.91,89.636427952004,130.177482524737
"NPP","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,6.438e-09,69,0.7375,0.9814,2.266,20.65,16.2221608090786,25.0866210161531
"BNPP_root","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.789e-07,81,0.5208,0.9842,0.5232,10.25,7.18700460702507,13.3122219312171
"BNPP_root_fine","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.09864,68,0.1959,0.8846,2.17,3.93,0.186619197000823,7.67976495060344
"GPP","Aridity","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.00507,209,0.1629,0.9977,1.452,23.26,-6.69542984024752,53.2169165877296
"NPP","Aridity","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.1896,69,0.09362,0.9826,2.445,6.38,-1.65691118642341,14.4227730006858
"BNPP_root","Aridity","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.3087,81,0.04541,0.9831,0.9746,2.95,-1.01234000619273,6.91682340515988
"BNPP_root_fine","Aridity","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.5113,68,0.08457,0.8859,0.9182,2.28,-2.18158823889667,6.742810450777
"GPP","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.357e-06,209,0.5199,0.9974,10.3,63.24,34.1315502039577,92.3447868992097
"NPP","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.19e-06,69,0.6179,0.9814,2.479,19.98,14.0588631846916,25.9100594754044
"BNPP_root","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,2.588e-05,81,0.432,0.9833,7.513,7.37,3.74919862024565,11.0007268576691
"BNPP_root_fine","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.1222,68,0.2097,0.8818,1.894,3.63,-0.00839039333411362,7.27192498096775
"GPP","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.291e-05,209,0.4886,0.9974,10.86,41.01,13.5378837709906,68.4753415351513
"NPP","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,8.226e-06,69,0.5452,0.9826,2.344,17.5,11.258876034995,23.7383016458975
"BNPP_root","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.0004498,81,0.3685,0.985,1.593,7.68,3.85439352061803,11.5023920112474
"BNPP_root_fine","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.326,68,0.1167,0.8737,1.007,2.57,-1.14048841386944,6.27313105049209
"GPP","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,6.213e-05,209,0.3169,0.9973,1.322,58.95,29.9356958987486,87.9727022682853
"NPP","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,4.869e-07,69,0.587,0.988,1.232,21.89,15.0736028715574,28.7133324685886
"BNPP_root","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.0001235,81,0.3455,0.9847,1.302,8.07,4.40781648559725,11.7400338479791
"BNPP_root_fine","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.2135,68,0.1628,0.8902,2.457,3.15,-0.612903645690507,6.9114150235874
"ANPP_1","mat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,5.394e-08,109,0.4251,0.9824,2.104,8.77,4.04082633265836,13.4895690222105
"ANPP_foliage","mat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,5.334e-10,65,0.6906,0.9874,2.174,7.67,5.84451481440764,9.49202445498831
"ANPP_repro","mat","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.001296,27,0.4171,0.99,0.5119,0.06,-0.268840810631765,0.380286911957512
"ANPP_1","map","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,8.45e-06,110,0.3361,0.9843,2.294,0.67,-2.80910317369242,4.14522102361254
"ANPP_foliage","map","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.0002581,71,0.355,0.9822,8.781,2.41,-0.384432502356419,5.20783928513683
"ANPP_repro","map","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.000929,32,0.358,0.9966,1.809,-0.08,-0.381902217001294,0.215345423955926
"ANPP_1","lat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,5.992e-11,137,0.4888,0.9872,2.115,-12.48,-17.2229857879219,-7.73722812218839
"ANPP_foliage","lat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.514e-10,95,0.5974,0.9891,0.2439,-7.93,-9.9405327060254,-5.92156657773398
"ANPP_repro","lat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.00058,33,0.3792,0.9971,2.323,-0.12,-0.496643912477105,0.266140326931426
"ANPP_1","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,6.661e-07,137,0.3518,0.9854,1.154,6.35,1.17076734043004,11.5240928508587
"ANPP_foliage","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.742e-12,95,0.6933,0.9881,1.903,8.52,6.74241772281609,10.3055117536572
"ANPP_repro","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0004071,33,0.3907,0.9969,3.122,0.22,-0.196732039187287,0.636298363095996
"ANPP_1","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,4.832e-08,137,0.3919,0.9853,1.289,-7.61,-12.0306424320617,-3.19931201530956
"ANPP_foliage","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,7.864e-10,95,0.5675,0.9876,2.209,-7.57,-9.54694507000587,-5.58495081158681
"ANPP_repro","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0006249,33,0.3729,0.9965,3.221,-0.11,-0.47483100872784,0.259143847995174
"ANPP_1","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,2.999e-07,137,0.383,0.985,0.4914,-6.45,-10.8201319576295,-2.07197913224936
"ANPP_foliage","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,4.341e-09,95,0.5566,0.9865,2.21,-7.24,-9.20163396707747,-5.28088935954308
"ANPP_repro","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0006201,33,0.3803,0.9962,2.654,-0.11,-0.430074357829538,0.212216391261687
"ANPP_1","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.005e-06,137,0.3078,0.9845,2.169,4.37,-0.377626300678751,9.11764646329786
"ANPP_foliage","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,8.23e-05,95,0.2626,0.9854,3.33,4.12,1.76406112172991,6.48451961848403
"ANPP_repro","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0006633,33,0.3832,0.9972,1.064,0.07,-0.341597657004474,0.485706142549167
"ANPP_1","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.602e-08,137,0.4268,0.9855,1.633,-8.73,-13.4437208214578,-4.02598808281879
"ANPP_foliage","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,5.301e-11,95,0.6223,0.9879,2.331,-7.81,-9.67281326871573,-5.95347434202445
"ANPP_repro","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0001998,33,0.3996,0.9969,2.824,-0.26,-0.583896066088899,0.0662456845490233
"ANPP_1","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.769e-06,137,0.3032,0.9857,0.5372,4.28,-1.04575353957658,9.61416981599201
"ANPP_foliage","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.001408,95,0.1778,0.9898,2.333,3.69,1.02071578696006,6.35368372128132
"ANPP_repro","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0004783,33,0.4023,0.9974,3.197,-0.15,-0.484819992491618,0.193145235852262
"ANPP_1","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,4.623e-07,137,0.3662,0.9858,1.891,7.1,1.77126300596921,12.4261478241985
"ANPP_foliage","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,2.98e-11,95,0.6875,0.9884,4.435,8.5,6.44213380071783,10.553855749709
"ANPP_repro","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0005316,33,0.3962,0.9971,2.002,0.16,-0.272178503750535,0.592999813471494
"ANPP_1","Aridity","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,4.563e-06,137,0.276,0.9844,2.173,4.31,-2.56039716002011,11.1903359880336
"ANPP_foliage","Aridity","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.005038,95,0.1391,0.9893,1.794,2.92,0.288254659780777,5.56075907586225
"ANPP_repro","Aridity","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.0001999,33,0.444,0.9975,1.554,-0.14,-0.501641042200896,0.220955987839409
"ANPP_1","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,2.961e-06,137,0.3853,0.9884,2.511,2.08,-3.19362072942147,7.34602091983094
"ANPP_foliage","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,9.323e-09,95,0.5212,0.9881,0.9018,6.95,4.87291862969235,9.0343419466202
"ANPP_repro","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0001585,33,0.4373,0.9974,2.972,0.34,-0.0419919286363258,0.717956258132642
"ANPP_1","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,9.493e-06,137,0.2627,0.9858,0.5748,0.58,-4.91317848719249,6.06403282991524
"ANPP_foliage","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.807e-08,95,0.4945,0.9854,3.444,6.11,4.22594188616644,7.99551069933108
"ANPP_repro","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0005272,33,0.3627,0.9969,2.433,0.11,-0.195474563729464,0.42474313402831
"ANPP_1","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,9.316e-07,137,0.3278,0.9871,0.3248,5.35,0.761041078197402,9.93918095295674
"ANPP_foliage","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,3.948e-06,95,0.3859,0.9898,1.128,5.44,3.18794381635985,7.69736553954206
"ANPP_repro","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0003066,33,0.4567,0.9977,2.596,0.22,-0.128963828085778,0.57457022554204
"ANPP_woody","mat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0003472,36,0.566,0.9888,3.103,4.7,2.44810650525135,6.95946881007141
"ANPP_woody_stem","mat","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,5.394e-12,234,0.3302,0.9839,0.7417,8.05,5.47828269966656,10.6132375445886
"ANPP_woody_branch","mat","geographic.area/plot.name","age.greater.than.100","mod.linear",FALSE,0.06556,43,0.2521,0.9673,2.593,0.66,-0.368192771489249,1.69007760773369
"ANPP_woody","map","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.000811,35,0.4552,0.9905,8.159,0.8,-1.48704542861334,3.08361440269915
"ANPP_woody_stem","map","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,4.777e-07,236,0.2004,0.9859,0.8829,3.29,1.20190662848075,5.37124315951783
"ANPP_woody_branch","map","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.1285,46,0.2386,0.9707,2.67,0.15,-0.961790270082169,1.2530698559787
"ANPP_woody","lat","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.0004765,54,0.4622,0.9867,2.438,-4.02,-6.63809760647592,-1.393190879407
"ANPP_woody_stem","lat","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.863e-12,265,0.312,0.9891,1.087,-8.01,-10.5383405534365,-5.47809982921627
"ANPP_woody_branch","lat","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.00133,73,0.3109,0.9759,1.689,-1.02,-1.96809788932323,-0.0807551272253973
"ANPP_woody","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0006746,54,0.4208,0.9868,0.7284,4.54,2.03049365701394,7.0526075610561
"ANPP_woody_stem","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.462e-09,265,0.2776,0.9874,1.698,7.38,4.42110656388349,10.3335013552415
"ANPP_woody_branch","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.002507,73,0.2875,0.9737,2.441,1.11,0.130867369227823,2.09876625279386
"ANPP_woody","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0002151,54,0.4711,0.9873,1.213,-4.94,-7.37329827643105,-2.5017668249014
"ANPP_woody_stem","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,7.623e-10,265,0.2356,0.9862,2.101,-5.91,-8.22642754603773,-3.58948563982548
"ANPP_woody_branch","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.003003,73,0.2571,0.9739,2.415,-0.93,-1.79078742130441,-0.0738916102345308
"ANPP_woody","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0004693,54,0.4517,0.9873,1.609,-4.64,-7.10486769510067,-2.17266064263795
"ANPP_woody_stem","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.548e-08,265,0.2052,0.9861,2.003,-5.07,-7.39639716461443,-2.74155558753048
"ANPP_woody_branch","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.001948,73,0.2804,0.9745,2.37,-1.04,-1.9195726861953,-0.165318920346985
"ANPP_woody","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.04045,54,0.1824,0.987,2.471,1.88,-0.831004181313125,4.58798362022084
"ANPP_woody_stem","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,4.532e-08,265,0.2158,0.9852,2.102,4.83,2.50828597825612,7.14955249037468
"ANPP_woody_branch","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.02957,73,0.2084,0.9743,1.456,-0.01,-1.01783107626653,0.990925647199711
"ANPP_woody","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.000473,54,0.4464,0.9887,1.906,-4.66,-7.23960541142541,-2.08453518310681
"ANPP_woody_stem","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.213e-09,265,0.2496,0.9874,1.819,-6.31,-8.93841602155555,-3.68890972998434
"ANPP_woody_branch","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.003438,73,0.3031,0.9756,1.985,-1.08,-2.10970375847177,-0.05445055299489
"ANPP_woody","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.03238,54,0.1878,0.9904,2.38,2.18,-0.989791594976699,5.34718594504522
"ANPP_woody_stem","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,5.653e-06,265,0.1717,0.988,3.75,2.42,-0.64317542387693,5.48941910406893
"ANPP_woody_branch","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.006007,73,0.254,0.9758,0.8234,0.88,-0.0915021288195049,1.85691173269217
"ANPP_woody","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.002766,54,0.3439,0.9874,2.272,4.04,1.2713987659555,6.80425010906766
"ANPP_woody_stem","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.938e-09,265,0.2767,0.9876,1.917,7.56,4.42017909974387,10.6948598410542
"ANPP_woody_branch","VapourPressure","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.001753,73,0.3078,0.9737,0.1686,1.25,0.223531950615161,2.26910371094765
"ANPP_woody","Aridity","geographic.area/plot.name","age.greater.than.100","mod.linear",FALSE,0.07631,54,0.1345,0.9895,2.191,0.61,-2.66690289241108,3.88623710663655
"ANPP_woody_stem","Aridity","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,2.348e-07,265,0.1868,0.9862,1.623,6.02,2.67169064654055,9.3708849104613
"ANPP_woody_branch","Aridity","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.02459,73,0.2101,0.9762,1.804,-0.46,-1.55046885912172,0.62372870473615
"ANPP_woody","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.000101,54,0.5081,0.9873,0.4433,4.91,2.65264332400763,7.1576408483601
"ANPP_woody_stem","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.886e-09,265,0.3618,0.991,16.14,4.06,0.972113640820561,7.14316356151791
"ANPP_woody_branch","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0178,73,0.2319,0.9744,0.3237,0.49,-0.473935876517111,1.45493323687566
"ANPP_woody","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0001891,54,0.5212,0.9851,0.7184,4.98,2.75325112758433,7.2158538844245
"ANPP_woody_stem","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,2.769e-07,265,0.2842,0.9894,4.84,4.83,1.50626085062934,8.15176978317098
"ANPP_woody_branch","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,0.005772,73,0.3011,0.9701,2.357,0.36,-0.496752995307102,1.21049943729692
"ANPP_woody","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0006326,54,0.4148,0.9881,2.139,3.87,1.67101219036364,6.06980831839351
"ANPP_woody_stem","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.poly",TRUE,1.188e-09,265,0.2089,0.9899,12.04,4.79,2.0524450658309,7.53579957167048
"ANPP_woody_branch","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0291,73,0.2136,0.9744,2.318,0.08,-0.937629906500095,1.0958005934079
