"response","fixed","random","Age.filter","significant","p.value","sample.size","Rsq.R2m","Rsq.R2c","AICsig"
"GPP","VapourPressure","geographic.area/plot.name","age.greater.than.200",FALSE,0.4186,129,0.7883,0.9707,FALSE
"NPP","VapourPressure","geographic.area/plot.name","age.greater.than.200",FALSE,0.3259,74,0.4138,0.7696,FALSE
"ANPP","VapourPressure","geographic.area/plot.name","age.greater.than.200",TRUE,4.48e-05,261,0.1631,0.6206,TRUE
"GPP","SolarRadiation","geographic.area/plot.name","age.greater.than.200",FALSE,0.388,129,0.2535,0.9691,FALSE
"NPP","SolarRadiation","geographic.area/plot.name","age.greater.than.200",FALSE,0.6819,74,0.2994,0.8497,FALSE
"ANPP","SolarRadiation","geographic.area/plot.name","age.greater.than.200",FALSE,0.06663,261,0.0291,0.6993,TRUE
"ANPP_foliage","mat","geographic.area/plot.name","age.greater.than.100",FALSE,0.3909,88,0.3213,0.9572,FALSE
"ANPP_woody","mat","geographic.area/plot.name","age.greater.than.100",FALSE,0.7559,45,0.4271,0.8778,FALSE
"BNPP_root","mat","geographic.area/plot.name","age.greater.than.100",FALSE,0.2406,82,0.3174,0.76,FALSE
"ANPP_foliage","map","geographic.area/plot.name","age.greater.than.100",TRUE,0.0002053,136,0.127,0.9116,TRUE
"ANPP_woody","map","geographic.area/plot.name","age.greater.than.100",TRUE,1.331e-05,45,0.5048,0.8922,TRUE
"BNPP_root","map","geographic.area/plot.name","age.greater.than.100",TRUE,0.009586,86,0.2398,0.8378,TRUE
"ANPP_foliage","lat","geographic.area/plot.name","age.greater.than.100",FALSE,0.2368,161,0.2424,0.8983,FALSE
"ANPP_woody","lat","geographic.area/plot.name","age.greater.than.100",FALSE,0.1511,64,0.2792,0.6918,TRUE
"BNPP_root","lat","geographic.area/plot.name","age.greater.than.100",FALSE,0.6881,96,0.3837,0.8322,FALSE
"ANPP_foliage","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100",FALSE,0.1873,161,0.3489,0.916,FALSE
"ANPP_woody","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100",FALSE,0.3611,64,0.3205,0.6801,FALSE
"BNPP_root","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.100",FALSE,0.3337,96,0.3495,0.7804,FALSE
"ANPP_foliage","MeanDiurnalRange","geographic.area/plot.name","age.greater.than.100",FALSE,0.3364,161,0.08579,0.8904,FALSE
"ANPP_woody","MeanDiurnalRange","geographic.area/plot.name","age.greater.than.100",FALSE,0.7704,64,0.007751,0.6643,FALSE
"BNPP_root","MeanDiurnalRange","geographic.area/plot.name","age.greater.than.100",TRUE,0.02165,96,0.06629,0.8348,TRUE
"ANPP_foliage","TempSeasonality","geographic.area/plot.name","age.greater.than.100",FALSE,0.8272,161,0.2784,0.8998,FALSE
"ANPP_woody","TempSeasonality","geographic.area/plot.name","age.greater.than.100",FALSE,0.5292,64,0.2997,0.6809,FALSE
"BNPP_root","TempSeasonality","geographic.area/plot.name","age.greater.than.100",TRUE,0.006274,96,0.413,0.8457,TRUE
"ANPP_foliage","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100",FALSE,0.8993,161,0.2814,0.8928,FALSE
"ANPP_woody","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100",FALSE,0.6667,64,0.2942,0.6717,FALSE
"BNPP_root","TempRangeAnnual","geographic.area/plot.name","age.greater.than.100",TRUE,0.002404,96,0.4062,0.8469,TRUE
"ANPP_foliage","AnnualPre","geographic.area/plot.name","age.greater.than.100",FALSE,0.1943,161,0.09336,0.8947,FALSE
"ANPP_woody","AnnualPre","geographic.area/plot.name","age.greater.than.100",FALSE,0.296,64,0.2516,0.5472,FALSE
"BNPP_root","AnnualPre","geographic.area/plot.name","age.greater.than.100",FALSE,0.2368,96,0.1442,0.7747,FALSE
"ANPP_foliage","PreSeasonality","geographic.area/plot.name","age.greater.than.100",FALSE,0.6392,161,0.0009446,0.8983,FALSE
"ANPP_woody","PreSeasonality","geographic.area/plot.name","age.greater.than.100",FALSE,0.8319,64,0.02323,0.6854,FALSE
"BNPP_root","PreSeasonality","geographic.area/plot.name","age.greater.than.100",TRUE,0.01941,96,0.08365,0.8823,TRUE
"ANPP_foliage","CloudCover","geographic.area/plot.name","age.greater.than.100",TRUE,0.001965,161,0.0666,0.8997,TRUE
"ANPP_woody","CloudCover","geographic.area/plot.name","age.greater.than.100",FALSE,0.8957,64,0.05046,0.6739,FALSE
"BNPP_root","CloudCover","geographic.area/plot.name","age.greater.than.100",FALSE,0.333,96,0.02064,0.8301,FALSE
"ANPP_foliage","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100",FALSE,0.2931,161,0.3577,0.9004,FALSE
"ANPP_woody","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100",FALSE,0.3602,64,0.3032,0.6761,FALSE
"BNPP_root","AnnualFrostDays","geographic.area/plot.name","age.greater.than.100",FALSE,0.2689,96,0.3378,0.8147,FALSE
"ANPP_foliage","AnnualPET","geographic.area/plot.name","age.greater.than.100",FALSE,0.6484,161,0.2225,0.9056,FALSE
"ANPP_woody","AnnualPET","geographic.area/plot.name","age.greater.than.100",FALSE,0.1464,64,0.2225,0.665,TRUE
"BNPP_root","AnnualPET","geographic.area/plot.name","age.greater.than.100",FALSE,0.8172,96,0.2847,0.83,FALSE
"ANPP_foliage","AnnualWetDays","geographic.area/plot.name","age.greater.than.100",FALSE,0.7475,161,0.09104,0.902,FALSE
"ANPP_woody","AnnualWetDays","geographic.area/plot.name","age.greater.than.100",FALSE,0.2608,64,0.1361,0.6666,FALSE
"BNPP_root","AnnualWetDays","geographic.area/plot.name","age.greater.than.100",FALSE,0.1001,96,0.05222,0.8289,TRUE
"ANPP_foliage","VapourPressure","geographic.area/plot.name","age.greater.than.100",TRUE,0.00565,161,0.3147,0.9117,TRUE
"ANPP_woody","VapourPressure","geographic.area/plot.name","age.greater.than.100",FALSE,0.7333,64,0.2219,0.6594,FALSE
"BNPP_root","VapourPressure","geographic.area/plot.name","age.greater.than.100",FALSE,0.5901,96,0.3628,0.7888,FALSE
"ANPP_foliage","SolarRadiation","geographic.area/plot.name","age.greater.than.100",FALSE,0.177,161,0.1581,0.8916,FALSE
"ANPP_woody","SolarRadiation","geographic.area/plot.name","age.greater.than.100",FALSE,0.2166,64,0.2726,0.6889,FALSE
"BNPP_root","SolarRadiation","geographic.area/plot.name","age.greater.than.100",FALSE,0.09801,96,0.3103,0.843,TRUE
"ANPP_foliage","mat","geographic.area/plot.name","age.greater.than.200",FALSE,0.8602,67,0.4846,0.8811,FALSE
"ANPP_woody","mat","geographic.area/plot.name","age.greater.than.200",FALSE,0.9139,34,0.2229,0.8306,FALSE
"BNPP_root","mat","geographic.area/plot.name","age.greater.than.200",FALSE,0.6499,53,0.2082,0.622,FALSE
"ANPP_foliage","map","geographic.area/plot.name","age.greater.than.200",TRUE,0.0009042,114,0.1436,0.8028,TRUE
"ANPP_woody","map","geographic.area/plot.name","age.greater.than.200",TRUE,0.0004799,34,0.3135,0.8423,TRUE
"BNPP_root","map","geographic.area/plot.name","age.greater.than.200",FALSE,0.05042,57,0.1169,0.7336,TRUE
"ANPP_foliage","lat","geographic.area/plot.name","age.greater.than.200",FALSE,0.4307,130,0.4064,0.766,FALSE
"ANPP_woody","lat","geographic.area/plot.name","age.greater.than.200",FALSE,0.6287,45,0.09988,0.6913,FALSE
"BNPP_root","lat","geographic.area/plot.name","age.greater.than.200",FALSE,0.6822,63,0.2784,0.7263,FALSE
"ANPP_foliage","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.200",FALSE,0.6419,130,0.4775,0.7981,FALSE
"ANPP_woody","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.200",FALSE,0.9648,45,0.1519,0.6827,FALSE
"BNPP_root","AnnualMeanTemp","geographic.area/plot.name","age.greater.than.200",FALSE,0.7276,63,0.2506,0.6435,FALSE
"ANPP_foliage","MeanDiurnalRange","geographic.area/plot.name","age.greater.than.200",FALSE,0.8239,130,0.1205,0.7519,FALSE
"ANPP_woody","MeanDiurnalRange","geographic.area/plot.name","age.greater.than.200",FALSE,0.6761,45,0.04277,0.6401,FALSE
"BNPP_root","MeanDiurnalRange","geographic.area/plot.name","age.greater.than.200",FALSE,0.156,63,0.03385,0.7161,TRUE
"ANPP_foliage","TempSeasonality","geographic.area/plot.name","age.greater.than.200",FALSE,0.4805,130,0.3835,0.774,FALSE
"ANPP_woody","TempSeasonality","geographic.area/plot.name","age.greater.than.200",FALSE,0.5994,45,0.151,0.6956,FALSE
"BNPP_root","TempSeasonality","geographic.area/plot.name","age.greater.than.200",FALSE,0.1337,63,0.3305,0.7451,TRUE
"ANPP_foliage","TempRangeAnnual","geographic.area/plot.name","age.greater.than.200",FALSE,0.7165,130,0.4209,0.7637,FALSE
"ANPP_woody","TempRangeAnnual","geographic.area/plot.name","age.greater.than.200",FALSE,0.6883,45,0.1661,0.6876,FALSE
"BNPP_root","TempRangeAnnual","geographic.area/plot.name","age.greater.than.200",FALSE,0.142,63,0.3249,0.7509,TRUE
"ANPP_foliage","AnnualPre","geographic.area/plot.name","age.greater.than.200",FALSE,0.1588,130,0.0963,0.7383,FALSE
"ANPP_woody","AnnualPre","geographic.area/plot.name","age.greater.than.200",FALSE,0.1233,45,0.1621,0.5904,TRUE
"BNPP_root","AnnualPre","geographic.area/plot.name","age.greater.than.200",FALSE,0.3502,63,0.06659,0.6416,FALSE
"ANPP_foliage","PreSeasonality","geographic.area/plot.name","age.greater.than.200",FALSE,0.537,130,0.004658,0.7664,FALSE
"ANPP_woody","PreSeasonality","geographic.area/plot.name","age.greater.than.200",FALSE,0.6893,45,0.04514,0.6815,FALSE
"BNPP_root","PreSeasonality","geographic.area/plot.name","age.greater.than.200",FALSE,0.2763,63,0.02958,0.7622,FALSE
"ANPP_foliage","CloudCover","geographic.area/plot.name","age.greater.than.200",FALSE,0.2642,130,0.0655,0.7753,FALSE
"ANPP_woody","CloudCover","geographic.area/plot.name","age.greater.than.200",FALSE,0.8545,45,0.05632,0.6864,FALSE
"BNPP_root","CloudCover","geographic.area/plot.name","age.greater.than.200",FALSE,0.6655,63,0.01822,0.7135,FALSE
"ANPP_foliage","AnnualFrostDays","geographic.area/plot.name","age.greater.than.200",FALSE,0.9019,130,0.4435,0.757,FALSE
"ANPP_woody","AnnualFrostDays","geographic.area/plot.name","age.greater.than.200",FALSE,0.6751,45,0.1822,0.687,FALSE
"BNPP_root","AnnualFrostDays","geographic.area/plot.name","age.greater.than.200",FALSE,0.6142,63,0.2476,0.6881,FALSE
"ANPP_foliage","AnnualPET","geographic.area/plot.name","age.greater.than.200",FALSE,0.9039,130,0.1967,0.773,FALSE
"ANPP_woody","AnnualPET","geographic.area/plot.name","age.greater.than.200",FALSE,0.2717,45,0.09013,0.6627,FALSE
"BNPP_root","AnnualPET","geographic.area/plot.name","age.greater.than.200",FALSE,0.8608,63,0.1638,0.7096,FALSE
"ANPP_foliage","AnnualWetDays","geographic.area/plot.name","age.greater.than.200",FALSE,0.3774,130,0.1685,0.7679,FALSE
"ANPP_woody","AnnualWetDays","geographic.area/plot.name","age.greater.than.200",FALSE,0.9926,45,0.1636,0.6907,FALSE
"BNPP_root","AnnualWetDays","geographic.area/plot.name","age.greater.than.200",FALSE,0.4605,63,0.03018,0.7114,FALSE
"ANPP_foliage","VapourPressure","geographic.area/plot.name","age.greater.than.200",TRUE,0.01176,130,0.4786,0.7867,TRUE
"ANPP_woody","VapourPressure","geographic.area/plot.name","age.greater.than.200",FALSE,0.299,45,0.1904,0.6825,FALSE
"BNPP_root","VapourPressure","geographic.area/plot.name","age.greater.than.200",FALSE,0.4817,63,0.2817,0.6729,FALSE
"ANPP_foliage","SolarRadiation","geographic.area/plot.name","age.greater.than.200",FALSE,0.1061,130,0.1602,0.7474,TRUE
"ANPP_woody","SolarRadiation","geographic.area/plot.name","age.greater.than.200",FALSE,0.1414,45,0.1412,0.687,TRUE
"BNPP_root","SolarRadiation","geographic.area/plot.name","age.greater.than.200",FALSE,0.09478,63,0.2041,0.7336,TRUE
